Actor,Gross
Sally Kirkland,70405498
Ryan Guzman,70442892
Jason Alexander,70836296
Jacob Tremblay,71017784
D.B. Woodside,71038190
Nathan Lane,71227464
David Lyons,71346930
Frank Langella,71645930
Misha Gabriel Hamilton,71844424
Drew Powell,71975611
Jeremy Brett,72000000
Hope Davis,72167039
Omari Hardwick,72214489
Sean Young,72217000
Wes Studi,72455275
Curtiss Cook,72515360
Rob Paulsen,72601713
Usher Raymond,73000942
Diedrich Bader,73354869
Liam Aiken,73431127
Yaphet Kotto,73534543
Natasha Henstridge,74149752
Noel Gugliemi,74352613
Britney Spears,74377334
Shannon Elizabeth,74721600
George Carlin,74787599
Faizon Love,74864529
Estella Warren,74978872
Abbie Cornish,75103149
William Smith,75148373
Jennifer Saunders,75280058
Miko Hughes,75559360
Danneel Ackles,75568608
Mhairi Calvey,75600000
Todd Stashwick,75604320
Seth MacFarlane,75754670
Marsha Thomason,75817994
Topher Grace,75889322
Leopold Stokowski,76400000
Harry Lennix,76837944
Ray Winstone,77026095
Archie Panjabi,77736010
Charlotte Rampling,78302761
Kevin Nash,78656813
Donald Faison,79313225
Emily Osment,79566871
Quentin Tarantino,79860492
Dylan Baker,80003296
Ana de la Reguera,80197993
Daryl Sabara,80245349
Alice Greczyn,80270227
Treat Williams,80276912
Leighton Meester,80698331
Dylan Walsh,81022333
John Amos,81152746
James Coburn,81165565
Stephen Amell,81638674
Katharine Isabelle,82163317
America Ferrera,82768383
Peter Graves,83400000
Ken Howard,83429088
Darcy Donavan,84136909
Mel Blanc,84300000
Jeremy Irvine,84504796
Sprague Grayden,84749884
Tony Goldwyn,84915327
Miranda Cosgrove,85586139
Leslie Bibb,86063348
Mike Starr,86383279
Will Patton,87704396
Snoop Dogg,88200225
Kelly Rutherford,89138076
Eartha Kitt,89296573
Michael Wincott,89345526
Adam Garcia,90104432
John Doman,90135191
Don Ameche,90400000
Vanessa Ferlito,90485233
Lucas Grabeel,90556401
Beau Mirchoff,90703745
Lisa Ann Walter,90741522
Josh Charles,90775144
Gary Dourdan,91158241
Jacob Vargas,91443253
Matthew Perry,91624165
Li Gong,91883196
Bradley Whitford,92115211
Bruno Kirby,92823600
Natasha Lyonne,92865098
Woody Allen,93142719
Dan Byrd,93208724
Dorian Missick,93307796
Carol Ann Susi,93375151
Lena Olin,93469845
Mary Lynn Rajskub,93816164
Carmen Perez,93952276
Michael Nouri,94900000
Julie Benz,95207488
Frankie Muniz,95622550
Gunnar Hansen,96052256
Fionnula Flanagan,96471845
Steve Guttenberg,97300000
Kyra Sedgwick,98386491
Mark Margolis,98757837
Jim Belushi,98867673
Virginia Madsen,98902303
Sean Hayes,100446895
Michael Emerson,100509789
Dolly Parton,100620167
Bailee Madison,101307416
Linda Cardellini,101411757
Ethan Suplee,101598405
Bill Duke,101774441
F. Murray Abraham,101785017
Jackson Nicoll,101978840
Eric Idle,102084758
Ed Wynn,102300000
Bokeem Woodbine,102358162
Katharine Ross,102380804
Daniel von Bargen,102678089
Sam Edwards,102797150
Kristin Scott Thomas,103138003
David Arquette,103465941
Charlie Korsmo,103738726
Dane Cook,103764221
Tom Skerritt,103933720
Johanna Braddy,104007828
Deborah Kara Unger,104131296
Victor Wong,105017620
Zachary Gordon,105213451
Art Hindle,105500000
Connie Nielsen,106030978
Izabella Scorupco,106635996
Candice Bergen,106807667
Andrew Garfield,107019400
Matt Frewer,107503316
Greg Grunberg,107518241
Jason Patric,107714483
Micah Sloat,107917283
Boris Kodjoe,107977218
Frank Grillo,108120110
Julian Sands,109206639
Christopher Lambert,109644966
Regina Hall,110000082
Amy Schumer,110008260
Louis Lombardi,110584646
Jon Heder,110636376
Harold Perrineau,110661318
Scatman Crothers,112000000
Richard Tyson,112929373
Raven-Symoné,112950721
Chris Noth,113280368
Norman Reedus,113393959
Donald Pleasence,113551178
Alison Brie,113635028
Imelda Staunton,114236922
Stephen Root,115232456
Rob Riggle,115289003
Romany Malco,115371361
Adam Baldwin,115457325
Sharlto Copley,115646235
Robert Forster,115742969
Sissy Spacek,116316653
Joe Lo Truglio,116378984
Olivia Wilde,117272203
Bojana Novakovic,118931492
Osama bin Laden,119078393
Sandra Ellis Lafferty,119518352
Julie Christie,120551070
Sophia Myles,120570879
Kelli Garner,121255417
Cicely Tyson,121441074
Taylor Lautner,121747073
David Carradine,122035783
A.J. Buckley,123070338
Jerry Stiller,123179834
Larry Miller,123423449
Daniel Roebuck,123830892
Michael O'Neill,124107476
Emmanuelle Vaugier,124964875
Suraj Sharma,124976634
Vincent Schiavelli,125332007
Jerry Ferrara,125468116
Colin Salmon,126930660
Joel Courtney,126975169
Jeff Bennett,127706877
Chen Chang,128067808
Bob Balaban,128300000
Luenell,128505958
David Oyelowo,129746073
Francesca Capaldi,130174897
Sofia Boutella,130468626
Olivia Munn,130997840
Seychelle Gabriel,131564731
Loretta Devine,131686875
Kevin Rankin,132122995
Angus T. Jones,132541238
Jeanne Tripplehorn,133994057
John Michael Higgins,134496011
James D'Arcy,135741249
Frank Welker,135781921
Bruce McGill,136408408
Lili Taylor,136448821
Julie Walters,136449951
Michael Kelly,137437329
Mackenzie Foy,137458714
Viggo Mortensen,138589059
Tom Welling,138614544
Natascha McElhone,138811383
Tzi Ma,140080850
Don Johnson,140092020
Heather Donahue,140530114
Anil Kapoor,141319195
Miriam Margolyes,141840060
Mahadeo Shivraj,142614158
Dominic Cooper,142907866
Miguel Ferrer,142926410
Matt Bomer,143097394
Jason Flemyng,143417634
Rene Russo,144731527
Roger Rees,145721356
Omar Epps,146107198
Jay Hernandez,146814878
Delroy Lindo,147905873
Phoebe Cates,148170000
Minnie Driver,148358137
Erika Christensen,148577195
Lauren Holly,148588856
Lupe Ontiveros,148688074
Harold Ramis,148734225
Charlie Hunnam,149166930
Sanaa Lathan,150282161
Laura-Leigh,150368971
Craig Roberts,150523207
Mike Vogel,150627765
Radha Mitchell,151418359
Charlize Theron,151498011
Heather O'Rourke,153200000
Stockard Channing,153322024
Dean Stockwell,154018779
Quvenzhané Wallis,155363529
Toby Jones,156465418
LL Cool J,157505226
Madeline Carroll,158383657
Odeya Rush,160043480
Sarah Roemer,160100342
Billy Burke,160542036
Aldis Hodge,161029270
Chris Brown,161791781
Michael Imperioli,162062635
Tim Conway,162495848
Eleanor Parker,163214286
Rufus Sewell,165715334
Sean Patrick Thomas,166113226
Margot Kidder,168200000
Jill Hennessy,168213584
Giancarlo Giannini,168368427
Matt Lucas,169076745
Mark Addy,169405958
Michael Rapaport,169598973
Desmond Llewelyn,170100000
Ethan Embry,171343946
Marlon Brando,171482000
Javier Botet,173898395
Tim Blake Nelson,179671561
John Witherspoon,180160295
Olivia Newton-John,181360000
Bob Hoskins,181421290
Michael Jeter,181500091
Martin Kove,181600000
Zooey Deschanel,181844082
Karen Allen,182618434
Eric Dane,183201170
Ki Hong Lee,184101193
Mary McDonnell,184208848
Patrick Fugit,184491759
Adriana Caselotti,184925485
Nick Stahl,186735955
Clea DuVall,187495410
Essie Davis,188811421
Haley Joel Osment,189258098
Alicia Witt,193144041
Jon Lovitz,194077176
Vanessa Williams,194966877
John Belushi,195800000
Ming-Na Wen,197860083
Ioan Gruffudd,198655105
Hattie McDaniel,198655278
Mekhi Phifer,199062012
Peter Capaldi,202351611
Busy Philipps,202704313
Tina Fey,204132043
Jonathan Winters,208868163
Fred Gwynne,209574861
Albert Brooks,212632370
Bruce Spence,212743624
Adam Goldberg,212781988
Toby Stephens,213023524
Verne Troyer,213079163
Shailene Woodley,214345767
Scott Glenn,214912156
Elizabeth Daily,216392871
Alexa PenaVega,218452768
Logan Lerman,218787259
Mo'Nique,219015899
Heath Ledger,219335451
Maura Tierney,220361437
Oprah Winfrey,221393008
Colm Feore,221920693
George Kennedy,222865002
Alex Pettyfer,223625327
Sarah Silverman,223800512
Mei Melançon,226138454
Rory Culkin,228619159
Goran Visnjic,228774923
Finn Wittrock,231207960
Kelly Preston,231391836
Michael Jai White,232423348
Jack McBrayer,232995036
Bella Thorne,233133659
Vivica A. Fox,233686038
Adam Scott,233746423
Joe Morton,234907155
Jesse McCartney,235439265
Costas Mandylor,236480800
LeVar Burton,237787466
Peter Greene,238171003
Ronny Cox,238825842
Ariana Richards,244444097
Bruce Greenwood,244533082
Janeane Garofalo,245006031
Bingbing Li,246902077
Damon Wayans Jr.,248103503
Kirsten Dunst,249876868
Brad Garrett,251369817
Dianne Wiest,251626700
Martin Short,253287547
Bam Margera,254247685
Catherine Dyer,255950375
Martin Landau,259561078
Ed Begley Jr.,264271546
Chazz Palminteri,266173098
Kathleen Freeman,267652016
Tia Carrere,268005644
Phaldut Sharma,274084951
Tom Selleck,278608014
Ellen Burstyn,279650344
Steve Bastoni,281492479
Madeline Kahn,282457000
Michael Fassbender,284929434
Anjelica Huston,291479761
Clint Howard,297630675
Jennifer Ehle,299262889
Paul Hogan,303988925
Robert Duvall,307246450
Lin Shaye,308616208
Catherine O'Hara,308697243
Nia Vardalos,309672830
Bill Cobbs,313203508
Will Forte,313364948
Eileen Brennan,315342230
Michael Biehn,317303341
Salma Hayek,317656447
Zack Ward,318974116
Brendan Fraser,327029920
Joe Mantegna,327617273
Djimon Hounsou,340541988
Kelly Macdonald,341260172
Nia Long,346221622
Wayne Knight,356784000
Roy Scheider,362922376
Muse Watson,363066972
Rosario Dawson,366553102
Jimmy Bennett,371124244
Anna Kendrick,377193775
Jet Li,384661024
Jon Hamm,390088345
Holly Hunter,390335427
Denis Leary,391903468
Alexander Gould,393532491
Hayley Atwell,402322663
Steve Coogan,402960178
Orlando Bloom,403857641
Don Cheadle,410198242
Ty Burrell,420257574
Cary-Hiroyuki Tagawa,423584156
Alfre Woodard,426264329
Lea Thompson,433072165
Henry Thomas,435329102
Rupert Everett,436471036
Eva Green,440383485
Jeremy Renner,444756424
Sarah Michelle Gellar,444965958
Josh Gad,445402563
Chris Evans,448265275
James Franco,454581775
Milla Jovovich,456824565
Dennis Quaid,466004673
Kate Winslet,467360946
Tim Holmes,469806152
Gary Cole,481420753
Noel Fisher,482587290
Josh Hutcherson,488596455
Alyson Hannigan,492148168
Bernie Mac,492658953
Ryan Gosling,497462608
Oliver Platt,510289933
Judge Reinhold,518819711
Benedict Cumberbatch,519245027
Tom Wilkinson,519615332
Vin Diesel,520882148
Anne Hathaway,529662340
Jennifer Garner,533995064
Jim Parsons,535619457
Demi Moore,535709297
Robin Wright,551033560
Christoph Waltz,561437511
Leonard Nimoy,561449216
Macaulay Culkin,566365137
Gary Oldman,571413481
Jon Favreau,590721315
Justin Timberlake,595274754
Mila Kunis,599231409
Chloë Grace Moretz,605521625
Albert Finney,608720554
Jada Pinkett Smith,631342664
Judy Greer,634527957
Colin Firth,646373735
Meryl Streep,659117002
Jake Gyllenhaal,662482183
Jamie Lee Curtis,664397475
Kristen Stewart,671962945
Joseph Gordon-Levitt,675997319
Alan Rickman,699415604
Michael Gough,705336738
Al Pacino,714285258
Jim Broadbent,721390386
Tom Hardy,724499926
Peter Dinklage,749788005
Clint Eastwood,757241788
John Ratzenberger,760839216
Glenn Morshower,785546728
Christopher Lee,788008448
Jeff Bridges,802338697
Bryce Dallas Howard,808735398
Anthony Hopkins,834364807
Henry Cavill,846530799
Aidan Turner,847630374
CCH Pounder,859152693
Matthew McConaughey,915345373
Naomi Watts,921599374
Matthew Broderick,924089032
Daniel Radcliffe,978707075
Sylvester Stallone,1023650665
Philip Seymour Hoffman,1042537736
Amy Poehler,1051102844
Emma Stone,1062653907
Jason Statham,1111401945
Brad Pitt,1127464628
Will Ferrell,1132984634
Adam Sandler,1137069543
Angelina Jolie Pitt,1168666328
Keanu Reeves,1178922594
Paul Walker,1185926475
Ryan Reynolds,1194348128
Steve Carell,1234417944
Julia Roberts,1252223284
Kevin Spacey,1255364287
Gerard Butler,1320905460
Channing Tatum,1344428689
Bill Murray,1411131546
Dwayne Johnson,1412783917
Nicolas Cage,1482670876
Christian Bale,1581349852
Natalie Portman,1645479776
Bradley Cooper,1658315287
Liam Neeson,1680082173
Scarlett Johansson,1702026268
Hugh Jackman,1713313608
Morgan Freeman,1780514534
Robert Pattinson,1841497127
Matt Damon,1859179002
Denzel Washington,1896762381
Bruce Willis,2010942570
Robert De Niro,2100745158
Steve Buscemi,2118443103
Robin Williams,2297193027
Jennifer Lawrence,2367856024
Robert Downey Jr.,2456990061
Leonardo DiCaprio,2640581774
Chris Hemsworth,2729132988
Will Smith,2762617667
J.K. Simmons,2856407143
Tom Cruise,2987621999
Tom Hanks,3264559076
Harrison Ford,3391557163
Johnny Depp,3719618399
