Type,Title,Year,Score,Budget,Cast_Likes,Gross,movie_likes
Color,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,6.3,155000000,764,104383624,11000
Color,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,6.9,180000000,1317,291709845,0
Color,The Chronicles of Narnia: Prince Caspian ,2008,6.6,225000000,22697,141614023,0
Color,The Chorus ,2004,7.9,5500000,745,3629758,0
Color,The Children of Huang Shi ,2008,7.1,40000000,1003,1027749,1000
Color,The Change-Up ,2011,6.4,52000000,28045,37035845,13000
Color,The Cell ,2000,6.3,33000000,2474,61280963,0
Color,The Celebration ,1998,8.1,1300000,821,1647780,5000
Color,The Cave ,2005,5.1,30000000,2178,14888028,0
Color,The Cat in the Hat ,2003,3.8,109000000,2762,100446895,946
Color,The Canyons ,2013,3.9,250000,2862,49494,0
Color,The Campaign ,2012,6.2,95000000,9271,86897182,18000
Color,The Call ,2013,6.7,13000000,2812,51872378,23000
Color,The Cable Guy ,1996,6,47000000,3718,60154431,0
Color,The Cabin in the Woods ,2012,7,30000000,29551,42043633,66000
Color,The Butterfly Effect ,2004,7.7,13000000,12755,23947,15000
Color,The Business of Fancydancing ,2002,6.9,200000,314,174682,96
Color,The Bucket List ,2007,7.4,45000000,14868,93452056,22000
Color,The Bubble ,2006,7.3,1500000,137,155972,0
Color,The Brown Bunny ,2003,5,10000000,883,365734,952
Color,The Brothers Solomon ,2007,5.3,10000000,3307,900926,319
Color,The Brothers McMullen ,1995,6.6,25000,388,10246600,265
Color,The Brothers Grimm ,2005,5.9,88000000,27114,37899638,0
Color,The Brothers Bloom ,2008,6.9,20000000,3014,3519627,0
Color,The Brothers ,2001,6.3,6000000,6419,27457409,478
Color,The Broken Hearts Club: A Romantic Comedy ,2000,7,1000000,3085,1744858,671
Black and White,The Broadway Melody ,1929,6.3,379000,109,2808000,167
Color,The Bridges of Madison County ,1995,7.5,35000000,27237,70960517,0
Color,The Bridge on the River Kwai ,1957,8.2,3000000,1035,27200000,0
Color,The Bridge of San Luis Rey ,2004,5.1,24000000,23769,42880,181
Color,The Break-Up ,2006,5.8,52000000,8315,118683135,0
Color,The Brass Teapot ,2012,6.4,900000,4184,6643,0
Color,The Boy Next Door ,2015,4.6,4000000,4807,35385560,8000
Color,The Boy in the Striped Pajamas ,2008,7.8,12500000,156,9030581,38000
Color,The Boy ,2016,6,10000000,4687,35794166,20000
Color,The Boxtrolls ,2014,6.8,60000000,3151,50807639,11000
Color,The Box ,2009,5.6,16000000,2466,15045676,0
Color,The Bourne Ultimatum ,2007,8.1,110000000,17369,227137090,0
Color,The Bourne Supremacy ,2004,7.8,75000000,14161,176049130,0
Color,The Bourne Legacy ,2012,6.7,125000000,12175,113165635,31000
Color,The Bourne Identity ,2002,7.9,60000000,13249,121468960,0
Color,The Bounty Hunter ,2010,5.5,40000000,21554,67061228,0
Color,The Bounty ,1984,7,25000000,28094,8600000,1000
Color,The Boss ,2016,5.3,29000000,23562,63034755,0
Color,The Borrowers ,1997,5.8,29000000,2056,22359293,0
Color,The Boondock Saints II: All Saints Day ,2009,6.3,8000000,17524,10269307,0
Color,The Book Thief ,2013,7.6,19000000,1985,21483154,53000
Color,"The Book of Mormon Movie, Volume 1: The Journey ",2003,3.3,2000000,359,1098224,32
Color,The Book of Life ,2014,7.3,50000000,19513,50150619,18000
Color,The Book of Eli ,2010,6.9,80000000,44797,94822707,20000
Color,The Bone Collector ,1999,6.7,48000000,29748,66488090,0
Color,The Bodyguard ,1992,6.1,25000000,2551,121945720,0
Color,The Blues Brothers ,1980,7.9,27000000,2566,54200000,14000
Color,The Blood of Heroes ,1989,6.5,10000000,1526,882290,999
Color,The Blind Side ,2009,7.7,29000000,3389,255950375,38000
Black and White,The Blair Witch Project ,1999,6.4,60000,399,140530114,0
Color,The Black Dahlia ,2006,5.6,50000000,22833,22518325,0
Color,The Big Year ,2011,6.2,41000000,2085,7204138,11000
Color,The Big Wedding ,2013,5.6,35000000,74181,21784432,0
Color,The Big Tease ,1999,6.3,4000000,2805,185577,182
Color,The Big Short ,2015,7.8,28000000,57308,70235322,99000
Color,The Big Lebowski ,1998,8.2,15000000,47728,17439163,35000
Color,The Big Hit ,1998,6.1,13000000,3353,27052167,934
Color,The Big Bounce ,2004,4.9,50000000,11972,6471394,288
Color,The BFG ,2016,6.8,140000000,1950,52792307,27000
Black and White,The Beyond ,1981,6.9,400000,123,126387,2000
Black and White,The Best Years of Our Lives ,1946,8.1,2100000,1941,23650000,0
Color,The Best Offer ,2013,7.8,13500000,5954,85433,31000
Color,The Best of Me ,2014,6.7,26000000,3197,26761283,19000
Color,The Best Man Holiday ,2013,6.7,17000000,5306,70492685,7000
Color,The Best Man ,1999,6.7,9000000,5420,34074895,0
Color,The Best Little Whorehouse in Texas ,1982,5.8,35000000,3688,69700000,0
Color,The Best Exotic Marigold Hotel ,2011,7.3,10000000,1898,46377022,48000
Color,The Benchwarmers ,2006,5.6,33000000,13125,57651794,0
Black and White,The Believer ,2001,7.2,1500000,33441,406035,0
Color,The Beaver ,2011,6.7,21000000,34705,958319,17000
Black and White,"The Beast from 20,000 Fathoms ",1953,6.7,210000,205,5000000,465
Color,The Beach ,2000,6.6,50000000,29461,39778599,0
Color,The Battle of Shaker Heights ,2003,6.1,1000000,2489,279282,150
Color,The Basket ,1999,6.5,1300000,3475,609042,117
Color,The Barbarians ,1987,4.8,4000000,1700,800000,550
Color,The Barbarian Invasions ,2003,7.7,6000000,253,3432342,0
Color,The Bank Job ,2008,7.3,20000000,27755,30028592,0
Color,The Banger Sisters ,2002,5.6,10000000,1917,30306281,744
Color,The Ballad of Jack and Rose ,2005,6.7,1500000,859,712294,608
Color,The Back-up Plan ,2010,5.3,35000000,3356,37481242,0
Color,The Baader Meinhof Complex ,2008,7.4,20000000,1601,476270,0
Black and White,The Aviator ,2004,7.5,110000000,34582,102608827,0
Color,The Avengers ,2012,8.1,440000000,175394,1246559094,246000
Color,The Astronaut's Wife ,1999,5.3,68000000,105242,21309162,2000
Color,The Astronaut Farmer ,2006,6.3,13000000,27806,10996440,862
Color,The Assassination of Jesse James by the Coward Robert Ford ,2007,7.5,30000000,22516,3904982,0
Color,The Assassin ,2015,6.4,15000000,1172,613556,0
Black and White,The Artist ,2011,8,15000000,4606,44667095,30000
Color,The Art of War ,2000,5.7,40000000,3753,30199105,470
Color,The Apparition ,2012,4.1,17000000,730,4930798,0
Color,The Apostle ,1997,7.2,5000000,428,20733485,1000
Color,The Ant Bully ,2006,5.9,50000000,33822,28133159,593
Color,The Animal ,2001,4.8,22000000,1203,55762229,1000
Color,The Angry Birds Movie ,2016,6.3,73000000,24350,107225164,14000
Color,The Amityville Horror ,2005,6,19000000,120797,64255243,0
Color,The American President ,1995,6.8,62000000,2668,65000000,0
Color,The American ,2010,6.3,20000000,1454,35596227,10000
Color,The Amazing Spider-Man 2 ,2014,6.7,200000000,28631,202853933,41000
Color,The Amazing Spider-Man ,2012,7,230000000,28489,262030663,56000
Color,The Amazing Catfish ,2013,7,1300000,58,11278,407
Color,The Alamo ,2004,6,214000000,11560,44812724,1402
Color,The Age of Innocence ,1993,7.2,30000000,1068,32000000,0
Color,The Age of Adaline ,2015,7.2,25000000,15327,42478175,34000
Color,The Adventures of Tintin ,2011,7.4,135000000,4631,77564037,44000
Color,The Adventures of Sharkboy and Lavagirl 3-D ,2005,3.5,50000000,14899,39177541,0
Color,The Adventures of Rocky & Bullwinkle ,2000,4.1,76000000,28050,26000610,413
Color,The Adventures of Pluto Nash ,2002,3.8,100000000,6161,4411102,416
Color,The Adventures of Pinocchio ,1996,5.3,25000000,2465,15091542,246
Color,The Adventures of Huck Finn ,1993,6.2,6500000,4840,24103594,391
Color,The Adventures of Ford Fairlane ,1990,6.3,40000000,2795,21413502,2000
Color,The Adventures of Elmo in Grouchland ,1999,5.8,17000000,2020,11634458,339
Color,The Adventurer: The Curse of the Midas Box ,2013,5.4,25000000,2450,4756,0
Color,The Adjustment Bureau ,2011,7.1,50200000,14607,62453315,36000
Color,The Addams Family ,1991,6.8,38000000,3696,113502246,5000
Color,The Act of Killing ,2012,8.2,1000000,6,484221,20000
Color,The Abyss ,1989,7.6,69500000,4074,54222000,0
Color,The 40-Year-Old Virgin ,2005,7.1,26000000,8341,109243478,0
Color,The 33 ,2015,6.9,26000000,2230,12188642,0
Color,The 13th Warrior ,1999,6.6,85000000,1815,32694788,0
Color,The 6th Day ,2000,5.9,82000000,5839,34543701,0
Color,The 5th Wave ,2016,5.2,38000000,19974,34912982,14000
Color,The 5th Quarter ,2010,5.7,6000000,2370,399611,0
Color,That's My Boy ,2012,5.6,70000000,16484,36931089,12000
Color,That Thing You Do! ,1996,6.9,26000000,28713,25809813,0
Color,That Awkward Moment ,2014,6.1,8000000,1024,26049082,0
Color,Thank You for Smoking ,2005,7.6,6500000,25092,24792061,0
Color,Texas Rangers ,2001,5.2,38000000,2120,623374,474
Color,Texas Chainsaw 3D ,2013,4.8,11000000,1945,34334256,16000
Color,Terminator Salvation ,2009,6.6,200000000,27468,125320003,0
Color,Terminator Genisys ,2015,6.6,155000000,38873,89732035,82000
Color,Terminator 3: Rise of the Machines ,2003,6.4,200000000,1769,150350192,0
Color,Terminator 2: Judgment Day ,1991,8.5,102000000,2829,204843350,13000
Color,Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,6.3,135000000,8306,81638674,12000
Color,Teenage Mutant Ninja Turtles III ,1993,4.8,17000000,1254,42660000,1000
Color,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,1991,6,25000000,2501,78656813,0
Color,Teenage Mutant Ninja Turtles ,2014,5.9,250000000,5380,381742480,124000
Color,Teen Wolf Too ,1987,3.2,3000000,1389,7888703,491
Color,Ted 2 ,2015,6.4,68000000,30010,81257500,30000
Color,Ted ,2012,7,50000000,21773,218628680,74000
Color,Tears of the Sun ,2003,6.6,70000000,16580,43426961,0
Color,Team America: World Police ,2004,7.2,30000000,2609,32774834,0
Color,Teacher's Pet ,2004,5.8,10000000,5139,6491350,49
Color,Tea with Mussolini ,1999,6.9,12000000,1148,14348123,970
Color,Taxi to the Dark Side ,2007,7.7,1000000,313,274661,0
Color,Tarnation ,2003,7.2,218,78,592014,754
Color,Tanner Hall ,2009,5.9,3000000,1929,5005,448
Color,Tank Girl ,1995,5.2,25000000,9662,4064333,0
Color,Tango & Cash ,1989,6.3,55000000,14432,63408614,0
Color,Tango ,1998,7.2,700000000,371,1687311,539
Color,Tangled ,2010,7.8,260000000,2036,200807262,29000
Color,Tammy ,2014,4.9,20000000,2654,84518155,11000
Color,Talladega Nights: The Ballad of Ricky Bobby ,2006,6.6,73000000,12410,148213377,0
Color,Talk Radio ,1988,7.3,4000000,1966,3468572,816
Color,Tales from the Hood ,1995,6.1,6000000,3221,11797927,985
Color,Tales from the Crypt: Demon Knight ,1995,6.7,13000000,3931,21088568,0
Color,Taking Woodstock ,2009,6.7,30000000,1500,7443007,0
Color,Takers ,2010,6.2,20000000,31529,57744720,0
Color,Taken 3 ,2014,6,48000000,16967,89253340,38000
Color,Taken 2 ,2012,6.3,45000000,16410,139852971,63000
Color,Taken ,2008,7.9,25000000,16461,145000989,29000
Color,Take the Lead ,2006,6.7,30000000,3797,34703228,0
Color,Take Shelter ,2011,7.4,5000000,1520,1729969,14000
Color,Take Me Home Tonight ,2011,6.3,23000000,5519,6923891,0
Color,Tae Guk Gi: The Brotherhood of War ,2004,8.1,12800000,1730,1110186,0
Color,Tadpole ,2000,6.3,150000,1144,2882062,132
Color,Ta Ra Rum Pum ,2007,5.4,6000000,902,872643,108
Color,Syriana ,2005,7,100000000,29494,101630576,0
Color,"Synecdoche, New York ",2008,7.5,21000000,24732,3081925,13000
Color,Sydney White ,2007,6.3,16500000,2785,11702090,0
Color,Swordfish ,2001,6.5,80000000,25942,69772969,0
Color,Switchback ,1997,6.4,37000000,74,6482195,389
Color,Swingers ,1996,7.4,200000,4230,4505922,0
Color,Swing Vote ,2008,6.1,21000000,6212,16284360,1000
Color,Swimfan ,2002,5,8500000,3819,28563926,720
Color,Swept Away ,2002,3.6,10000000,2006,598645,725
Color,Sweet Sweetback's Baadasssss Song ,1971,5.5,500000,1631,15180000,566
Color,Sweet November ,2001,6.7,40000000,29484,25178165,8000
Color,Sweet Home Alabama ,2002,6.1,38000000,4251,127214072,0
Color,Suspect Zero ,2004,5.9,27000000,1721,8712564,817
Color,Survival of the Dead ,2009,5,4000000,1951,101055,0
Color,Surrogates ,2009,6.3,80000000,18132,38542418,0
Color,"Surfer, Dude ",2008,4.7,6000000,14599,36497,850
Color,Surf's Up ,2007,6.8,100000000,25590,58867694,0
Color,Superstar ,1999,5,14000000,10792,30628981,2000
Color,Supernova ,2000,4.8,65000000,1262,14218868,589
Color,Superman Returns ,2006,6.1,209000000,29991,200069408,0
Color,Superman IV: The Quest for Peace ,1987,3.6,17000000,3007,15681020,1000
Color,Superman III ,1983,4.9,39000000,2329,60000000,0
Color,Superman II ,1980,6.8,54000000,2908,108200000,0
Color,Superman ,1978,7.3,55000000,12940,134218018,0
Color,Superhero Movie ,2008,4.5,35000000,3266,25871834,0
Color,Superbad ,2007,7.6,20000000,17584,121463226,0
Color,Superbabies: Baby Geniuses 2 ,2004,1.9,20000000,1343,9109322,0
Color,Super Troopers ,2001,7.1,1200000,2893,18488314,0
Color,Super Size Me ,2004,7.3,65000,0,11529368,0
Color,Super Mario Bros. ,1993,4,42000000,7723,20915465,0
Color,Super 8 ,2011,7.1,50000000,3388,126975169,37000
Color,Super ,2010,6.8,2500000,4590,322157,19000
Color,Sunshine State ,2002,6.9,5600000,2584,3064356,160
Color,Sunshine Cleaning ,2008,6.9,8000000,2528,12055108,0
Color,Sunshine ,2007,7.3,26000000,11623,3675072,15000
Color,Summer Storm ,2004,7.4,2700000,362,95016,442
Color,Summer of Sam ,1999,6.6,22000000,5386,19283782,0
Color,Summer Catch ,2001,4.9,34000000,3344,19693891,476
Color,Suicide Squad ,2016,6.9,175000000,11287,161087183,80000
Color,Sugar Town ,1999,6.1,250000,1987,177840,93
Black and White,Sugar Hill ,1993,5.9,10000000,2149,18272447,331
Color,Sucker Punch ,2011,6.1,82000000,7067,36381716,42000
Color,Stuck on You ,2003,5.8,55000000,14036,33828318,0
Color,Stuart Little 2 ,2002,5.4,120000000,2682,64736114,459
Color,Stuart Little ,1999,5.9,133000000,3382,140015224,0
Color,Striptease ,1996,4.3,40000000,3016,32800000,877
Color,Stripes ,1981,6.9,10000000,27378,85300000,0
Color,Street Kings ,2008,6.8,20000000,33878,26415649,0
Color,Street Fighter: The Legend of Chun-Li ,2009,3.7,18000000,1385,8742261,0
Color,Street Fighter ,1994,3.8,35000000,5443,33423521,0
Color,Straw Dogs ,2011,5.8,25000000,11431,10324441,7000
Color,Stranger Than Fiction ,2006,7.6,38000000,8362,40137776,13000
Color,Strange Wilderness ,2008,5.3,20000000,4218,6563357,847
Color,Straight Outta Compton ,2015,7.9,28000000,2702,161029270,76000
Color,Straight Out of Brooklyn ,1991,5.9,450000,380,2712293,123
Color,Stop-Loss ,2008,6.5,25000000,43560,10911750,982
Color,Stonewall ,2015,4.5,13500000,26176,186354,0
Color,Stone Cold ,1991,5.9,17000000,583,9286314,0
Color,Stone ,2010,5.4,22000000,37766,1796024,0
Color,Stomp the Yard ,2007,5.2,14000000,3544,61356221,0
Color,Stolen Summer ,2002,6.5,1500000,3901,119841,304
Color,Stolen ,2012,5.5,35000000,14978,183125,0
Color,Stoker ,2013,6.8,12000000,5074,1702277,27000
Color,Stir of Echoes ,1999,7,12000000,1254,21133087,0
Color,Still Alice ,2014,7.5,5000000,19673,18656400,45000
Color,Stigmata ,1999,6.2,29000000,3004,50041732,0
Color,Steve Jobs ,2015,7.2,30000000,28933,17750583,23000
Color,Stepmom ,1998,6.7,50000000,9988,91030827,0
Color,Step Up Revolution ,2012,6.5,33000000,4863,35057332,19000
Color,Step Up 3D ,2010,6.2,30000000,4059,42385520,16000
Color,Step Up 2: The Streets ,2008,6.2,23000000,816,58006147,0
Color,Step Up ,2006,6.5,12000000,21380,65269010,0
Color,Step Brothers ,2008,6.9,65000000,11264,100468793,0
Color,Steel ,1997,2.8,16000000,3100,1686429,0
Color,Stealth ,2005,5,135000000,2705,31704416,0
Color,Stealing Harvard ,2002,5.1,50000000,6130,27947064,430
Color,Stay Alive ,2006,5.1,9000000,3590,23078294,0
Color,Starsky & Hutch ,2004,6.1,60000000,3943,88200225,0
Color,Starship Troopers ,1997,7.2,105000000,2031,54700065,0
Color,Stardust ,2007,7.7,70000000,16034,38345403,15000
Color,Star Wars: Episode VI - Return of the Jedi ,1983,8.4,32500000,13649,309125409,14000
Color,Star Wars: Episode V - The Empire Strikes Back ,1980,8.8,18000000,12643,290158751,17000
Color,Star Wars: Episode IV - A New Hope ,1977,8.7,11000000,13485,460935665,33000
Color,Star Wars: Episode III - Revenge of the Sith ,2005,7.6,113000000,44042,380262555,10000
Color,Star Wars: Episode II - Attack of the Clones ,2002,6.7,115000000,42990,310675583,0
Color,Star Wars: Episode I - The Phantom Menace ,1999,6.5,115000000,37723,474544677,13000
Color,Star Trek: The Motion Picture ,1979,6.4,35000000,16007,82300000,0
Color,Star Trek: Nemesis ,2002,6.4,60000000,31224,43119879,0
Color,Star Trek: Insurrection ,1998,6.4,58000000,6207,70117571,1000
Color,Star Trek: Generations ,1994,6.6,35000000,6427,75668868,0
Color,Star Trek: First Contact ,1996,7.6,45000000,6315,92001027,3000
Color,Star Trek VI: The Undiscovered Country ,1991,7.2,30000000,16230,74888996,0
Color,Star Trek V: The Final Frontier ,1989,5.4,27800000,14710,55210049,0
Color,Star Trek IV: The Voyage Home ,1986,7.3,25000000,15449,109713132,0
Color,Star Trek Into Darkness ,2013,7.8,190000000,21411,228756232,92000
Color,Star Trek III: The Search for Spock ,1984,6.6,17000000,14762,76400000,0
Color,Star Trek II: The Wrath of Khan ,1982,7.7,11000000,16539,78900000,0
Color,Star Trek Beyond ,2016,7.5,185000000,1327,130468626,30000
Color,Star Trek ,2009,8,150000000,39284,257704099,19000
Color,Stand by Me ,1986,8.1,8000000,644,52287414,24000
Color,Stake Land ,2010,6.5,650000,1038,18469,0
Color,St. Vincent ,2014,7.3,13000000,20330,44134898,33000
Color,Spy Kids: All the Time in the World in 4D ,2011,3.6,27000000,4311,38536376,0
Color,Spy Kids 3-D: Game Over ,2003,4.1,38000000,22935,111760631,681
Color,Spy Kids 2: Island of Lost Dreams ,2002,5.1,38000000,18291,85570368,478
Color,Spy Kids ,2001,5.4,35000000,4499,112692062,0
Color,Spy Hard ,1996,5.3,18000000,2653,26906039,588
Color,Spy Game ,2001,7,92000000,12499,26871,0
Color,Spun ,2002,6.8,2000000,2110,410241,3000
Color,Spring Breakers ,2012,5.3,5000000,12306,14123773,25000
Color,Spotlight ,2015,8.1,20000000,1058,44988180,80000
Color,Split Second ,1992,6.2,7000000,493,5430822,0
Color,Splice ,2009,5.8,26000000,2222,16999046,12000
Color,Splash ,1984,6.2,8000000,15361,69800000,0
Color,Spirited Away ,2001,8.6,19000000,44,10049886,28000
Color,Spirit: Stallion of the Cimarron ,2002,7,80000000,14261,73215310,4000
Color,Spider-Man 3 ,2007,6.2,516000000,92110,673060606,0
Color,Spider-Man 2 ,2004,7.3,200000000,43388,373377893,0
Color,Spider-Man ,2002,7.3,139000000,40484,403706375,5000
Color,Spider ,2002,6.8,8000000,1381,1641788,0
Color,Spice World ,1997,3.3,25000000,2176,29247405,0
Color,Sphinx ,1981,5.2,14000000,2079,800000,106
Color,Sphere ,1998,6,75000000,1044,36976367,0
Color,Speed Racer ,2008,6.1,120000000,902,43929341,0
Color,Speed 2: Cruise Control ,1997,3.7,160000000,2027,48068396,894
Color,Speed ,1994,7.2,25000000,20966,121248145,0
Color,Spectre ,2015,6.8,245000000,11700,200074175,85000
Color,Species ,1995,5.8,35000000,1715,60054449,0
Color,Special ,2006,6.9,1000000,2694,6387,0
Color,Spawn ,1997,5.2,40000000,7039,54967359,0
Color,Sparkle ,2012,5.7,17000000,5804,24397469,0
Color,Spanglish ,2004,6.5,80000000,12522,42044321,0
Color,Spaced Invaders ,1990,5.3,3000000,1441,15369573,710
Color,Spaceballs ,1987,7.1,22700000,2936,38119483,13000
Color,Space Jam ,1996,6.3,80000000,15001,90443603,0
Black and White,Space Cowboys ,2000,6.4,65000000,17771,90454043,0
Color,Space Chimps ,2008,4.5,37000000,2268,30105968,279
Color,Southpaw ,2015,7.5,30000000,16881,52418902,44000
Color,Southland Tales ,2006,5.5,17000000,2340,273420,0
Color,South Park: Bigger Longer & Uncut ,1999,7.8,21000000,3003,52008288,0
Color,Source Code ,2011,7.5,32000000,16034,54696902,56000
Color,Soul Survivors ,2001,3.9,14000000,417,3100650,231
Color,Soul Surfer ,2011,7.1,18000000,5024,43853424,15000
Color,Soul Plane ,2004,4.4,16000000,3935,13922211,0
Color,Soul Kitchen ,2009,7.3,4000000,1519,274385,0
Color,Soul Food ,1997,6.9,7500000,4737,43490057,508
Color,Sorority Row ,2009,5.1,16000000,3142,11956207,0
Color,Sorority Boys ,2002,5.4,12000000,2393,10198766,507
Color,Songcatcher ,2000,7.3,1800000,2187,3050934,0
Color,Song One ,2014,5.8,6000000,12772,20200,0
Color,Son of the Mask ,2005,2.2,84000000,1195,17010646,881
Color,Son of God ,2014,5.6,22000000,775,59696176,15000
Color,Somewhere ,2010,6.3,7000000,684,1768416,0
Color,Something's Gotta Give ,2003,6.7,80000000,22679,124590960,0
Color,Something Borrowed ,2011,5.9,35000000,2371,39026186,13000
Color,Someone Like You... ,2001,6.1,23000000,20798,27338033,0
Black and White,Some Like It Hot ,1959,8.3,2883848,527,25000000,10000
Color,Solitary Man ,2009,6.4,15000000,2661,4360548,0
Color,Soldier ,1998,6,75000000,2542,14567883,0
Color,Snowpiercer ,2013,7,39200000,12286,4563029,58000
Color,Snow White and the Seven Dwarfs ,1937,7.7,2000000,229,184925485,0
Color,Snow White and the Huntsman ,2012,6.1,170000000,72881,155111815,53000
,Snow Flower and the Secret Fan ,2011,6.1,6000000,2430,1346503,0
Color,Snow Falling on Cedars ,1999,6.8,36000000,2393,14378353,846
Color,Snow Dogs ,2002,5.1,35000000,2916,81150692,0
Color,Snow Day ,2000,4.9,13000000,2241,60008303,0
Color,Snitch ,2013,6.5,30000000,31600,85838192,24000
Color,Snatch ,2000,8.3,12000000,78350,60186214,54000
Color,Snakes on a Plane ,2006,5.6,66000000,5207,68028796,8000
Color,Snake Eyes ,1998,5.9,69000000,15269,55585389,880
Color,Smokin' Aces ,2006,6.7,17000000,19410,35635046,3000
Color,Smoke Signals ,1998,7.2,2000000,3163,6719300,0
Color,Smilla's Sense of Snow ,1997,6.4,35000000,3125,2221994,561
Color,Smiling Fish & Goat on Fire ,1999,7.6,40000,20814,277233,0
Color,Small Time Crooks ,2000,6.7,18000000,23283,17071230,812
Color,Small Soldiers ,1998,6.1,40000000,8610,53955614,0
Color,Slums of Beverly Hills ,1998,6.6,5000000,2691,5480318,462
Color,Slumdog Millionaire ,2008,8,15000000,820,141319195,13000
Color,Slow Burn ,2005,5.9,15500000,4329,1181197,191
Color,Slither ,2006,6.5,15500000,1120,7774730,0
Color,Sling Blade ,1996,8,890000,3967,24475416,0
Color,Sliding Doors ,1998,6.8,9000000,1462,11883495,0
Color,Sleepover ,2004,5.3,10000000,13626,8070311,0
Black and White,Sleepers ,1996,7.5,44000000,37076,53300852,0
Color,Sleep Dealer ,2008,5.9,2500000,862,75727,0
Color,Slam ,1998,7.2,1000000,295,982214,603
Color,Slackers ,2002,5.3,11000000,2415,4814244,405
Black and White,Slacker ,1991,7.1,23000,5,1227508,2000
Color,Skyline ,2010,4.4,10000000,3679,21371425,13000
Color,Skyfall ,2012,7.8,400000000,4078,608720554,160000
Color,Sky High ,2005,6.2,35000000,2968,63939454,0
Color,Sky Captain and the World of Tomorrow ,2004,6.1,70000000,12871,37760080,0
Color,Skin Trade ,2014,5.7,9000000,2802,162,0
Color,Six-String Samurai ,1998,6.7,2000000,36,124494,0
Color,Six Days Seven Nights ,1998,5.7,70000000,12729,74329966,0
Color,Sinister 2 ,2015,5.2,10000000,2403,27736779,13000
Color,Sinister ,2012,6.8,3000000,2239,48056940,58000
Color,Sinbad: Legend of the Seven Seas ,2003,6.7,60000000,11301,26288320,880
Black and White,Sin City: A Dame to Kill For ,2014,6.5,65000000,49433,13750556,32000
Black and White,Sin City ,2005,8.1,40000000,3924,74098862,13000
Color,Simply Irresistible ,1999,5.3,6000000,5668,4394936,901
Color,Simon Birch ,1998,6.9,30000000,1816,18252684,0
Color,Silverado ,1985,7.2,26000000,1154,33200000,0
Color,Silver Linings Playbook ,2012,7.8,21000000,72115,132088910,117000
Color,Silent House ,2011,5.3,2000000,218,12555230,0
Color,Silent Hill: Revelation 3D ,2012,5,20000000,2173,17529157,25000
Color,Silent Hill ,2006,6.6,50000000,1933,46982632,0
Color,Signs ,2002,6.7,72000000,1675,227965690,0
Color,Sideways ,2004,7.5,12000000,2170,71502303,0
Color,Side Effects ,2013,7.1,60000000,36938,64308820,58000
Color,Sicko ,2007,8,9000000,1633,24530513,0
Color,Sicario ,2015,7.6,30000000,1467,46875468,59000
Color,Shutter Island ,2010,8.1,80000000,29585,127968405,53000
Color,Shutter ,2008,5.2,8000000,1534,25926543,0
Color,Shrek the Third ,2007,6.1,160000000,4705,320706665,0
Color,Shrek Forever After ,2010,6.4,165000000,4628,238371987,0
Color,Shrek 2 ,2004,7.2,150000000,1148,436471036,0
Color,Shrek ,2001,7.9,60000000,275,267652016,0
Color,Showgirls ,1995,4.6,45000000,18913,20302961,0
Color,Showdown in Little Tokyo ,1991,6,8000000,2404,2275557,0
Color,Shorts ,2009,4.9,40000000,88422,20916309,431
Color,Shortbus ,2006,6.5,2000000,226,1984378,0
Color,Short Cut to Nirvana: Kumbh Mela ,2004,7.2,200000,66,381225,30
Color,Shooting Fish ,1997,6.6,3000000,975,302204,167
Color,Shooter ,2007,7.2,61000000,1640,46975183,0
Color,Sholem Aleichem: Laughing in the Darkness ,2011,6.8,500000,660,906666,287
Color,Shine ,1996,7.7,5500000,888,35811509,0
Color,Sherrybaby ,2006,6.6,2000000,774,198407,474
Color,Sherlock Holmes: A Game of Shadows ,2011,7.5,125000000,22403,186830669,39000
Color,Sherlock Holmes ,2009,7.6,90000000,23996,209019489,20000
Color,She's the One ,1996,6.1,3500000,995,9449219,453
Color,She's the Man ,2006,6.4,20000000,20109,33687630,0
Color,She's Out of My League ,2010,6.4,20000000,5707,31584722,0
Black and White,She's Gotta Have It ,1986,6.5,175000,708,7137502,406
Color,She's All That ,1999,5.8,10000000,28734,63319509,0
Color,Shaun of the Dead ,2004,8,4000000,1686,13464388,19000
Color,Shattered Glass ,2003,7.2,6000000,8297,2207975,0
Color,Shark Tale ,2004,6,75000000,63165,160762022,0
Color,Shark Night 3D ,2011,4,25000000,4952,18860403,0
Black and White,Shaolin Soccer ,2001,7.3,10000000,700,488872,0
Color,Shanghai Surprise ,1986,3,17000000,805,2315683,154
Color,Shanghai Noon ,2000,6.6,55000000,939,56932305,0
Color,Shanghai Knights ,2003,6.2,50000000,428,60470220,955
Color,Shame ,2011,7.3,6500000,15230,4000304,23000
Color,Shallow Hal ,2001,5.9,40000000,2842,70836296,0
Color,Shall We Dance ,2004,6.1,50000000,2325,57887882,0
Color,Shakespeare in Love ,1998,7.2,25000000,1690,100241322,0
Color,Shaft ,2000,5.9,46000000,26527,70327868,0
Color,Shadowlands ,1993,7.4,22000000,13619,25842000,2000
Black and White,Shadow of the Vampire ,2000,6.9,8000000,1761,8279017,0
Color,Shadow Conspiracy ,1997,4.9,45000000,2457,2154540,68
