Type,Title,Year,Score,Gross
Color,Earth ,1998,7.8,528972
Color,East Is East ,1999,6.9,4170647
Color,Eastern Promises ,2007,7.7,17114882
Color,Easy A ,2010,7.1,58401464
Color,Easy Money ,2010,6.7,188870
Color,Easy Virtue ,2008,6.7,2656324
Color,Eat Pray Love ,2010,5.7,80574010
Color,Echo Dr. ,2013,3.6,
Black and White,Ed and His Dead Mother ,1993,6.1,
Black and White,Ed Wood ,1994,7.9,5887457
Color,Eddie the Eagle ,2016,7.5,31571264
Color,Eddie: The Sleepwalking Cannibal ,2012,5.7,1521
Color,Eden Lake ,2008,6.8,5824
Color,Eden ,2015,4.8,
Color,Edge of Darkness ,2010,6.6,43290977
Color,Edge of Tomorrow ,2014,7.9,100189501
Color,Edmond ,2005,6.3,131617
Color,Edtv ,1999,6.1,22362500
Color,Edward Scissorhands ,1990,7.9,56362352
Color,Eight Below ,2006,7.3,81593527
Color,Eight Legged Freaks ,2002,5.4,17266505
Color,El crimen del padre Amaro ,2002,6.8,5709616
Color,El Mariachi ,1992,6.9,2040920
Color,Election ,1999,7.3,14879556
Color,Elektra ,2005,4.8,24407944
Color,Elf ,2003,6.9,173381405
Color,Elite Squad ,2007,8.1,8060
Color,Elizabeth ,1998,7.5,30012990
Color,Elizabeth: The Golden Age ,2007,6.9,16264475
Color,Elizabethtown ,2005,6.4,26838389
Color,Ella Enchanted ,2004,6.3,22913677
Color,Elling ,2001,7.6,313436
Color,Elmer Gantry ,1960,7.9,
Color,Elsa & Fred ,2014,6.5,
Color,Elysium ,2013,6.6,93050117
Color,Elza ,2011,6.7,
Color,Employee of the Month ,2006,5.5,28435406
Color,Enchanted ,2007,7.1,127706877
Color,End of Days ,1999,5.7,66862068
Color,End of the Spear ,2005,7,11703287
Color,End of Watch ,2012,7.7,40983001
Color,Ender's Game ,2013,6.7,61656849
Color,Endless Love ,2014,6.3,23393765
Color,Enemy at the Gates ,2001,7.6,51396781
Color,Enemy of the State ,1998,7.3,111544445
Color,Enough Said ,2013,7.1,17536788
Color,Enough ,2002,5.6,39177215
Color,Enter Nowhere ,2011,6.6,
Color,Enter the Dangerous Mind ,2013,5.2,
Color,Enter the Void ,2009,7.3,336467
Color,Entrapment ,1999,6.2,87704396
Color,Envy ,2004,4.8,12181484
Color,Epic Movie ,2007,2.3,39737645
Color,Epic ,2013,6.7,107515297
Color,Equilibrium ,2002,7.5,1190018
Black and White,Eragon ,2006,5.1,75030163
Color,Eraser ,1996,6.1,101228120
Black and White,Eraserhead ,1977,7.4,
Color,Erin Brockovich ,2000,7.3,125548685
Color,Ernest & Celestine ,2012,7.9,71442
Color,Escape from Alcatraz ,1979,7.6,36500000
Color,Escape from L.A. ,1996,5.7,25407250
Color,Escape from New York ,1981,7.2,25244700
Color,Escape from Planet Earth ,2013,5.9,57011847
Color,Escape from the Planet of the Apes ,1971,6.3,
Black and White,Escape from Tomorrow ,2013,5.2,169719
Color,Escape Plan ,2013,6.7,25121291
Color,Escobar: Paradise Lost ,2014,6.6,106869
Color,Eternal Sunshine of the Spotless Mind ,2004,8.3,34126138
Color,Eulogy ,2004,6.7,70527
Color,EuroTrip ,2004,6.6,17718223
Color,Evan Almighty ,2007,5.4,100289690
Color,Event Horizon ,1997,6.7,26616590
Color,Ever After: A Cinderella Story ,1998,7,65703412
Color,Everest ,2015,7.1,43247140
Color,Everybody's Fine ,2009,7.2,8855646
Color,Everyone Says I Love You ,1996,6.8,9714482
Color,Everything Must Go ,2010,6.4,2711210
Color,Everything Put Together ,2000,6.6,
Black and White,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,1972,6.8,
Color,Eve's Bayou ,1997,7.3,14821531
Color,Evil Dead II ,1987,7.8,5923044
Color,Evil Dead ,2013,6.5,54239856
Color,Evita ,1996,6.3,49994804
Color,Evolution ,2015,6.4,
Black and White,Ex Machina ,2015,7.7,25440971
Color,Exam ,2009,6.9,
Color,Excessive Force ,1993,5.1,1200000
Color,Executive Decision ,1996,6.4,68750000
Color,Exeter ,2015,4.6,
Color,Exiled ,2006,7.3,49413
Color,eXistenZ ,1999,6.8,2840417
Color,Exit Wounds ,2001,5.5,51758599
Color,Exodus: Gods and Kings ,2014,6.1,130014090
Color,Exorcist II: The Heretic ,1977,3.7,
Color,Exorcist: The Beginning ,2004,5.1,41814863
Color,Exotica ,1994,7.2,5132222
Color,Extract ,2009,6.2,10814185
Color,Extraordinary Measures ,2010,6.5,11854694
Color,Extreme Measures ,1996,6.1,17305211
Color,Extreme Movie ,2008,3.8,
Color,Extreme Ops ,2002,4.5,4835968
Color,Extremely Loud & Incredibly Close ,2011,6.9,31836745
Color,Eye for an Eye ,1996,6.1,53146000
Color,Eye of the Beholder ,1999,4.9,16459004
Color,Eye of the Dolphin ,2006,5.7,71904
Color,Eye See You ,2002,5.3,
Color,Eyes Wide Shut ,1999,7.3,55637680
Color,F.I.S.T. ,1978,6.4,
Black and White,Fabled ,2002,5.8,25918
Color,Face/Off ,1997,7.3,112225777
Color,Facing the Giants ,2006,6.7,10174663
Color,Factory Girl ,2006,6.4,1654367
Color,Fahrenheit 9/11 ,2004,7.5,119078393
Color,Failure to Launch ,2006,5.6,88658172
Color,Fair Game ,2010,6.8,9528092
Color,Faith Connections ,2013,7,
Color,Faith Like Potatoes ,2006,6.9,
Color,Faithful ,1996,5.9,2104000
Color,Falcon Rising ,2014,5.8,8691
Color,Fame ,2009,5,22452209
Color,Family Plot ,1976,6.8,
Color,Fantasia 2000 ,1999,7.3,60507228
Color,Fantasia ,1940,7.8,76400000
Color,Fantastic 4: Rise of the Silver Surfer ,2007,5.6,131920333
Color,Fantastic Four ,2015,4.3,112228442
Color,Fantastic Mr. Fox ,2009,7.8,20999103
Color,Far from Heaven ,2002,7.4,15854988
Color,Far from Men ,2014,7.3,
Color,Farce of the Penguins ,2006,4.2,
Color,Fascination ,2004,3.3,16066
Color,Fast Five ,2011,7.3,209805005
Color,Fast Times at Ridgemont High ,1982,7.2,
Color,Faster ,2010,6.5,23225911
Color,Fat Albert ,2004,4.3,48114556
Color,"Fat, Sick & Nearly Dead ",2010,7.6,
Color,Fatal Attraction ,1987,6.9,156645693
Color,Fateless ,2005,7.1,195888
Color,Fear and Loathing in Las Vegas ,1998,7.7,10562387
Color,Fear Clinic ,2015,5.2,
Color,Feardotcom ,2002,3.3,13208023
Color,Feast ,2005,6.4,
Color,Felicia's Journey ,1999,7,819852
Color,Femme Fatale ,2002,6.3,6592103
Color,Fetching Cody ,2005,6.8,
Color,Fever Pitch ,2005,6.2,42071069
Color,Fiddler on the Roof ,1971,8,50000000
Black and White,Fido ,2006,6.8,298110
Color,Fifty Dead Men Walking ,2008,6.9,
Color,Fifty Shades of Black ,2016,3.5,11675178
Color,Fifty Shades of Grey ,2015,4.1,166147885
Color,Fight Club ,1999,8.8,37023395
Color,Fight to the Finish ,2016,4,
Color,Fight Valley ,2016,5,
Color,Fighting Tommy Riley ,2004,6.6,5199
Color,Filly Brown ,2012,5.7,2833383
Color,Final Destination 2 ,2003,6.2,46455802
Color,Final Destination 3 ,2006,5.8,54098051
Color,Final Destination 5 ,2011,5.9,42575718
Color,Final Destination ,2000,6.7,53302314
Color,Final Fantasy: The Spirits Within ,2001,6.4,32131830
Color,Find Me Guilty ,2006,7.1,1172769
Color,Finding Forrester ,2000,7.3,51768623
Color,Finding Nemo ,2003,8.2,380838870
Color,Finding Neverland ,2004,7.8,51676606
Color,Finishing the Game: The Search for a New Bruce Lee ,2007,6.2,52850
Color,Firefox ,1982,5.9,46700000
Color,Fireproof ,2008,6.5,33451479
Color,Firestarter ,1984,6,15100000
Color,Firestorm ,2013,6.2,
Color,Firewall ,2006,5.8,48745150
Color,First Blood ,1982,7.7,
Color,First Knight ,1995,5.9,37600435
Color,"First Love, Last Rites ",1997,5.5,40542
Color,Fish Tank ,2009,7.3,373060
Black and White,Fiza ,2000,6.2,610991
Color,Flags of Our Fathers ,2006,7.1,33574332
Color,Flame and Citron ,2008,7.3,145109
Color,Flash Gordon ,1980,6.4,
Color,Flash of Genius ,2008,7,4234040
Color,Flashdance ,1983,6.1,94900000
Color,Flatliners ,1990,6.6,61490000
Color,Flawless ,1999,6.4,4485485
Color,Fled ,1996,5.3,17100000
Color,Flicka ,2006,6.2,20998709
Color,Flight of the Intruder ,1991,5.7,14587732
Color,Flight of the Phoenix ,2004,6.1,21009180
Color,Flight ,2012,7.3,93749203
Color,Flightplan ,2005,6.2,89706988
Color,Flipped ,2010,7.7,1752214
Color,Flipper ,1996,5.2,20047715
Color,Flirting with Disaster ,1996,6.8,14891000
Color,Florence Foster Jenkins ,2016,7.1,
Color,Flubber ,1997,5.2,92969824
Color,Flushed Away ,2006,6.7,64459316
Black and White,Flyboys ,2006,6.6,13082288
Color,Flying By ,2009,4.5,
Color,Flywheel ,2003,6.9,
Color,Focus ,2015,6.6,53846915
Color,Food Chains ,2014,7.1,
Color,"Food, Inc. ",2008,7.9,4417124
Color,Foodfight! ,2012,1.7,
Color,Foolish ,1999,4.3,6026908
Color,Fool's Gold ,2008,5.6,70224196
Color,Footloose ,1984,6.5,160000000
Color,"For a Good Time, Call... ",2012,6,1243961
Color,For Colored Girls ,2010,6,37721949
Color,For Greater Glory: The True Story of Cristiada ,2012,6.6,5669081
Color,For Love of the Game ,1999,6.5,35168395
Color,For Your Consideration ,2006,6.3,5542025
Color,For Your Eyes Only ,1981,6.8,62300000
Black and White,Force 10 from Navarone ,1978,6.3,
Color,Forget Me Not ,2009,5.2,
Color,Forgetting Sarah Marshall ,2008,7.2,62877175
Color,Formula 51 ,2001,6.3,5204007
Black and White,Forrest Gump ,1994,8.8,329691196
Color,Forsaken ,2015,6.3,
Color,Fort McCoy ,2011,5.9,73678
Color,Fortress ,1992,5.9,6739141
Color,Forty Shades of Blue ,2005,6,
Color,Four Brothers ,2005,6.9,74484168
Color,Four Christmases ,2008,5.6,120136047
Color,Four Lions ,2010,7.3,304137
Color,Four Rooms ,1995,6.7,4301331
Color,Four Single Fathers ,2009,5.1,
Color,Four Weddings and a Funeral ,1994,7.1,52700832
Color,Frailty ,2001,7.3,13103828
Black and White,Frances Ha ,2012,7.4,4063238
Black and White,Frankenweenie ,2012,7,35287788
Color,Frat Party ,2009,2.8,
Color,Freakonomics ,2010,6.4,100675
Color,Freaky Friday ,2003,6.1,110222438
Color,Freddy Got Fingered ,2001,4.5,14249005
Color,Freddy vs. Jason ,2003,5.8,82163317
Color,Freddy's Dead: The Final Nightmare ,1991,4.9,34872293
Color,Free Birds ,2013,5.9,55747724
Color,Free State of Jones ,2016,6.7,20389967
Color,Free Style ,2008,4.2,140987
Color,Freedom Writers ,2007,7.5,36581633
Color,Freedom ,2014,6.2,
Color,Freeheld ,2015,6.5,532988
Color,Freeway ,1996,6.9,
Color,Freeze Frame ,2004,6.4,
Color,Frenzy ,1972,7.5,
Color,Frequency ,2000,7.3,44983704
Black and White,Frida ,2002,7.4,25776062
Color,Friday After Next ,2002,5.8,32983713
Color,Friday the 13th Part 2 ,1981,6.1,19100000
Color,Friday the 13th Part III ,1982,5.7,36200000
Color,Friday the 13th Part VII: The New Blood ,1988,5.3,19170001
Color,Friday the 13th Part VIII: Jason Takes Manhattan ,1989,4.5,14343976
Color,Friday the 13th: A New Beginning ,1985,4.7,21300000
Color,Friday the 13th: The Final Chapter ,1984,5.9,32600000
Black and White,Friday ,1995,7.3,27900000
Color,Friends with Benefits ,2011,6.6,55802754
Color,Friends with Money ,2006,5.9,13367101
Color,Fright Night ,2011,6.4,18298649
Color,From a Whisper to a Scream ,1987,5.9,1400000
Color,From Dusk Till Dawn ,1996,7.3,25753840
Color,From Hell ,2001,6.8,63196616
Black and White,From Here to Eternity ,1953,7.8,
Color,From Justin to Kelly ,2003,2.1,4922166
Color,From Paris with Love ,2010,6.5,23324666
Color,From Russia with Love ,1963,7.5,24800000
Color,Frost/Nixon ,2008,7.7,18593156
Color,Frozen River ,2008,7.2,2508841
Color,Frozen ,2013,7.6,400736600
Color,Fruitvale Station ,2013,7.5,16097842
Color,Fuel ,2008,7.6,173783
Color,Fugly ,2014,4.7,
Color,Full Frontal ,2002,4.7,2506446
Color,Fun Size ,2012,5.4,9402410
Color,Fun with Dick and Jane ,2005,6.1,110332737
Color,Funny Games ,2007,6.5,1294640
Color,Funny Ha Ha ,2002,6.4,
Color,Funny People ,2009,6.4,51814190
Color,Fur: An Imaginary Portrait of Diane Arbus ,2006,6.5,220914
Color,Furious 7 ,2015,7.2,350034110
Color,Furry Vengeance ,2010,3.8,17596256
Color,Fury ,2014,7.6,85707116
Color,Futuro Beach ,2014,6.1,20262
Color,G.I. Jane ,1997,5.8,48154732
Color,G.I. Joe: Retaliation ,2013,5.8,122512052
Color,G.I. Joe: The Rise of Cobra ,2009,5.8,150167630
Color,Gabriela ,1983,6.4,
Color,Galaxina ,1980,3.4,
Color,Galaxy Quest ,1999,7.3,71423726
Color,Gamer ,2009,5.8,20488579
Black and White,Gandhi ,1982,8.1,
Color,"Gandhi, My Father ",2007,7.4,240425
Color,Gangs of New York ,2002,7.5,77679638
Color,Gangster Squad ,2013,6.7,45996718
Color,Gangster's Paradise: Jerusalema ,2008,7.8,4958
Color,Garden State ,2004,7.6,26781723
Color,Garfield 2 ,2006,5,28424210
Color,Garfield ,2004,5,75367693
Color,Gattaca ,1997,7.8,12339633
Black and White,Gentleman's Agreement ,1947,7.4,
Color,Gentlemen Broncos ,2009,6.1,113155
Color,George and the Dragon ,2004,5.7,
Color,George of the Jungle ,1997,5.4,105263257
Color,George Washington ,2000,7.5,241816
Color,Georgia Rule ,2007,5.9,18882880
Color,Gerry ,2002,6.2,236266
Color,Get Carter ,2000,5.1,14967182
Color,Get Hard ,2015,6,90353764
Color,Get Him to the Greek ,2010,6.4,60923325
Color,Get Low ,2009,7.1,9176553
Color,Get on the Bus ,1996,6.8,5731103
Color,Get on Up ,2014,6.9,30513940
Color,Get Over It ,2001,5.8,11560259
Color,Get Rich or Die Tryin' ,2005,5,30981850
Color,Get Shorty ,1995,6.9,72077000
Color,Get Smart ,2008,6.5,130313314
Color,Getaway ,2013,4.4,10494494
Color,Gettysburg ,1993,7.7,10769960
Color,G-Force ,2009,5.1,119420252
Color,Ghost Dog: The Way of the Samurai ,1999,7.5,3300230
Color,Ghost Rider ,2007,5.2,115802596
Color,Ghost Rider: Spirit of Vengeance ,2011,4.3,51774002
Color,Ghost Ship ,2002,5.5,30079316
Color,Ghost Town ,2008,6.7,13214030
Color,Ghost World ,2001,7.4,6200756
Color,Ghost ,1990,7,217631306
Color,Ghostbusters ,2016,5.5,236199318
Color,Ghosts of Mars ,2001,4.9,8434601
Color,Ghosts of Mississippi ,1996,6.7,13052741
Color,Gigli ,2003,2.4,5660084
Color,Girl 6 ,1996,5,4903000
Color,Girl House ,2014,5.5,
Color,Girl with a Pearl Earring ,2003,7,11634362
Color,"Girl, Interrupted ",1999,7.3,28871190
Color,Girls Gone Dead ,2012,3.5,
Color,Give Me Shelter ,2014,8,
Color,Gladiator ,2000,8.5,187670866
Color,Glee: The 3D Concert Movie ,2011,5.4,11860839
Color,Glengarry Glen Ross ,1992,7.8,10725228
Color,Glitter ,2001,2.1,4273372
Color,Glory Road ,2006,7.2,42643187
Color,Glory ,1989,7.9,53660000
Color,Go for It! ,2011,3.9,178739
Color,Go ,1999,7.3,16842303
Color,Goal! The Dream Begins ,2005,6.8,4280577
Color,Goddess of Love ,2015,5.4,
Color,Gods and Generals ,2003,6.3,12870569
Black and White,Gods and Monsters ,1998,7.5,6390032
Color,God's Not Dead 2 ,2016,3.4,20773070
Color,Gods of Egypt ,2016,5.5,31141074
Color,Godsend ,2004,4.8,14334645
Color,Godzilla 2000 ,1999,6,10037390
Color,Godzilla Resurgence ,2016,8.2,
Color,Going the Distance ,2010,6.3,17797316
Color,GoldenEye ,1995,7.2,106635996
Color,Goldfinger ,1964,7.8,51100000
Color,Gone Girl ,2014,8.1,167735396
Color,Gone in Sixty Seconds ,2000,6.5,101643008
Color,Gone with the Wind ,1939,8.2,198655278
Color,Good Boy! ,2003,5.1,37566230
Black and White,Good Bye Lenin! ,2003,7.7,4063859
Color,Good Deeds ,2012,5.4,35010192
Color,Good Dick ,2008,6.5,15542
Color,Good Intentions ,2010,5.2,
Color,Good Kill ,2014,6.4,316842
Color,Good Luck Chuck ,2007,5.6,35000629
Color,"Good Morning, Vietnam ",1987,7.3,123922370
Black and White,"Good Night, and Good Luck. ",2005,7.5,31501218
Color,Good Will Hunting ,1997,8.3,138339411
Color,Good ,2008,6.2,23091
Color,Goodfellas ,1990,8.7,46836394
Color,Goosebumps ,2015,6.4,160043480
Color,Gory Gory Hallelujah ,2003,4.7,11798
Color,Gosford Park ,2001,7.3,41300105
Color,Gossip ,2000,5.9,5108820
Color,Gothika ,2003,5.8,59588068
Color,Grabbers ,2012,6.3,
Color,Grace of Monaco ,2014,5.7,
Color,Grace Unplugged ,2013,6.1,2507106
Color,Gracie ,2007,6.2,2955039
Color,Graduation Day ,1981,4.5,
Color,Gran Torino ,2008,8.2,148085755
Color,Grand Theft Parsons ,2003,6.1,
Color,Grandma's Boy ,2006,7,6088249
Color,Grave Encounters ,2011,6.1,
Color,Gravity ,2013,7.8,274084951
Color,Grease ,1978,7.2,181360000
Color,Green Lantern ,2011,5.6,116593191
Color,Green Room ,2015,7.1,3219029
Color,Green Street 3: Never Back Down ,2013,5.4,
Color,Green Zone ,2010,6.9,35024475
Color,Gremlins 2: The New Batch ,1990,6.3,41482207
Color,Gremlins ,1984,7.2,148170000
Color,Gridiron Gang ,2006,6.9,38432823
Color,Griff the Invisible ,2010,6.1,
Color,Grindhouse ,2007,7.6,25031037
Color,Groove ,2000,6.5,1114943
Color,Grosse Pointe Blank ,1997,7.4,28014536
Color,Groundhog Day ,1993,8.1,70906973
Color,Growing Up Smith ,2015,8.2,
Color,Grown Ups 2 ,2013,5.4,133668525
Color,Grown Ups ,2010,6,162001186
Color,Grudge Match ,2013,6.4,29802761
Color,Guardians of the Galaxy ,2014,8.1,333130696
Color,Guess Who ,2005,5.9,67962333
Color,Guiana 1838 ,2004,7.4,227241
Color,Gulliver's Travels ,2010,4.9,42776259
Color,Gun Shy ,2000,5.7,1631839
Color,Gunless ,2010,6.5,
Color,H. ,2014,6.3,
Color,Hachi: A Dog's Tale ,2009,8.1,
Color,Hackers ,1995,6.2,7564000
Color,"Hail, Caesar! ",2016,6.4,29997095
Color,Hairspray ,2007,6.7,118823091
Color,Half Baked ,1998,6.7,17278980
Color,Half Nelson ,2006,7.2,2694973
Color,Half Past Dead ,2002,4.6,15361537
Color,Hall Pass ,2011,5.9,45045037
Color,Halloween 4: The Return of Michael Myers ,1988,5.9,17768000
Color,Halloween 5 ,1989,5.2,11642254
Color,Halloween II ,2009,4.9,66772256
Color,Halloween III: Season of the Witch ,1982,4.6,14400000
Color,Halloween ,1978,7.9,141000000
Color,Halloween: Resurrection ,2002,4.1,30259652
Color,Halloween: The Curse of Michael Myers ,1995,4.9,15126948
Color,Hamlet 2 ,2008,6.4,4881867
Color,Hamlet ,1996,7.8,8829070
Color,Hancock ,2008,6.4,227946274
Color,Hands of Stone ,2016,7.2,
Color,Hang 'Em High ,1968,7,
Color,Hanging Up ,2000,4.7,36037909
Color,Hanna ,2011,6.8,40247512
Color,Hannah Montana: The Movie ,2009,4.2,79566871
Color,Hannibal Rising ,2007,6.2,27667947
Color,Hansel & Gretel Get Baked ,2013,4.3,
Color,Hansel & Gretel: Witch Hunters ,2013,6.1,55682070
Color,Happily N'Ever After ,2006,4.5,15519841
Color,Happiness ,1998,7.8,3000000
Color,Happy Christmas ,2014,5.6,30084
Color,Happy Feet 2 ,2011,5.9,63992328
Color,Happy Feet ,2006,6.5,197992827
Color,Happy Gilmore ,1996,7,38624000
Color,"Happy, Texas ",1999,6.3,1943649
Color,Hard Candy ,2005,7.1,1007962
Color,Hard Rain ,1998,5.8,19819494
Black and White,Hard to Be a God ,2013,6.7,
Color,Hardball ,2001,6.3,40219708
Color,Hardflip ,2012,5.6,96734
Color,Harley Davidson and the Marlboro Man ,1991,6,7434726
Color,Harlock: Space Pirate ,2013,6.5,
Color,Harold & Kumar Escape from Guantanamo Bay ,2008,6.6,38087366
Color,Harold & Kumar Go to White Castle ,2004,7.1,18225165
Color,Harper ,1966,7,
Color,Harriet the Spy ,1996,5.9,26539321
Color,Harrison Montgomery ,2008,7.4,
Color,Harry Brown ,2009,7.2,1818681
Color,Harry Potter and the Chamber of Secrets ,2002,7.4,261970615
Color,Harry Potter and the Deathly Hallows: Part I ,2010,6.4,
Color,Harry Potter and the Deathly Hallows: Part II ,2011,7.5,
Color,Harry Potter and the Goblet of Fire ,2005,7.6,289994397
Color,Harry Potter and the Half-Blood Prince ,2009,7.5,301956980
Color,Harry Potter and the Order of the Phoenix ,2007,7.5,292000866
Color,Harry Potter and the Prisoner of Azkaban ,2004,7.8,249358727
Color,Harry Potter and the Sorcerer's Stone ,2001,7.5,317557891
Color,Harsh Times ,2005,7,3335839
Color,Hart's War ,2002,6.3,19076815
Color,Harvard Man ,2001,4.9,56007
Color,Hatchet ,2006,5.7,
Color,Hav Plenty ,1997,6.5,2301777
Color,Hayride ,2012,3.4,
Color,Haywire ,2011,5.8,18934858
Color,He Got Game ,1998,6.9,21554585
Color,Head of State ,2003,5.4,37788228
Color,Head Over Heels ,2001,5.4,10397365
Color,Headhunters ,2011,7.6,1196752
Color,Heartbeeps ,1981,4.2,
Color,Heartbreakers ,2001,6.2,40334024
Color,Hearts in Atlantis ,2001,6.9,24185781
Color,Heaven Is for Real ,2014,5.8,91443253
Color,Heavenly Creatures ,1994,7.4,3049135
Color,Heaven's Gate ,1980,6.8,1500000
Color,Heavy Metal ,1981,6.7,
Color,Hedwig and the Angry Inch ,2001,7.8,3029081
Color,Heist ,2015,6.1,
Color,Held Up ,1999,5.1,4692814
Color,Heli ,2013,6.8,
Color,Hellboy II: The Golden Army ,2008,7,75754670
Color,Hellboy ,2004,6.8,59035104
Color,Hellraiser ,1987,7,14564027
Black and White,Hell's Angels ,1930,7.8,
Color,Henry & Me ,2014,6.7,
Color,Henry V ,1989,7.7,10161099
Color,Her Cry: La Llorona Investigation ,2013,5.4,
Color,Her ,2013,8,25556065
Color,Herbie Fully Loaded ,2005,4.7,66002004
Color,Hercules ,2014,6,145320058
Color,Here Comes the Boom ,2012,6.5,45290318
Color,Here on Earth ,2000,5.1,10494147
Color,Hereafter ,2010,6.5,32741596
Black and White,Hero ,2002,7.9,169922
Color,Heroes of Dirt ,2015,7.1,
Color,He's Just Not That Into You ,2009,6.4,93952276
Color,Hesher ,2010,7.1,382946
Color,Hey Arnold! The Movie ,2002,5.9,13684949
Color,Hidalgo ,2004,6.7,67286731
Color,Hidden Away ,2014,7.2,
Color,Hide and Seek ,2005,5.9,51097664
Color,High Anxiety ,1977,6.7,
Color,High Crimes ,2002,6.3,41543207
Color,High Fidelity ,2000,7.6,27277055
Color,High Heels and Low Lifes ,2001,6.2,226792
Black and White,High Noon ,1952,8.1,
Color,High Plains Drifter ,1973,7.6,
Color,High Road ,2011,5.4,
Color,High School Musical 2 ,2007,4.8,
Color,High School Musical 3: Senior Year ,2008,4.5,90556401
Color,High School Musical ,2006,5.2,
Color,High Tension ,2003,6.8,3645438
Color,Higher Ground ,2011,6.3,841206
Color,Highlander ,1986,7.2,5900000
Color,Highlander: Endgame ,2000,4.6,12801190
Color,Highlander: The Final Dimension ,1994,4.3,13829734
Color,Highway ,2002,6.3,
Color,History of the World: Part I ,1981,6.9,
Color,Hit and Run ,2012,6.1,13746550
Color,Hitch ,2005,6.6,177575142
Color,Hitman ,2007,6.3,39687528
Color,Hits ,2014,5.8,
Color,Hobo with a Shotgun ,2011,6.1,703002
Color,Hocus Pocus ,1993,6.7,39514713
Color,Hoffa ,1992,6.6,24276500
Black and White,Holes ,2003,7.1,67325559
Color,Hollow Man ,2000,5.7,73209340
Color,Hollywood Ending ,2002,6.6,4839383
Color,Hollywood Homicide ,2003,5.3,30013346
Color,Hollywood Shuffle ,1987,7,5228617
Color,Holy Man ,1998,4.9,12065985
Color,Holy Motors ,2012,7.1,
Color,Home Alone 2: Lost in New York ,1992,6.6,173585516
Color,Home Alone ,1990,7.5,285761243
Color,Home for the Holidays ,1995,6.6,17518220
Color,Home Fries ,1998,5,10443316
Color,Home on the Range ,2004,5.4,50026353
Color,Home Run ,2013,6,2859955
Color,Home ,2015,6.7,532031025
Color,Homefront ,2013,6.5,19783777
Color,Honey ,2003,5.3,30222640
Color,Hoodwinked Too! Hood vs. Evil ,2011,4.8,10134754
Color,Hoodwinked! ,2005,6.5,51053787
Color,Hook ,1991,6.7,119654900
Color,Hoop Dreams ,1994,8.3,7830611
Color,Hoot ,2006,5.6,8080116
Color,Hop ,2011,5.5,108012170
Color,Hope Floats ,1998,5.9,60033780
Color,Hope Springs ,2012,6.3,63536011
Color,Horrible Bosses 2 ,2014,6.3,54414716
Color,Horrible Bosses ,2011,6.9,117528646
Color,Horse Camp ,2014,6.6,
Color,Hostage ,2005,6.6,34636443
Color,Hostel ,2005,5.9,47277326
Color,Hostel: Part II ,2007,5.4,17544812
Color,Hot Fuzz ,2007,7.9,23618786
Color,Hot Pursuit ,2015,5.1,34507079
Color,Hot Rod ,2007,6.7,13920741
Color,Hot Tub Time Machine 2 ,2015,5.1,12282677
Color,Hot Tub Time Machine ,2010,6.4,50213619
Color,Hotel for Dogs ,2009,5.4,73023275
Color,Hotel Rwanda ,2004,8.1,23472900
Color,Hotel Transylvania 2 ,2015,6.7,169692572
Color,Hotel Transylvania ,2012,7.1,148313048
Color,House at the End of the Drive ,2014,6.9,
Color,House at the End of the Street ,2012,5.6,31607598
Black and White,House of 1000 Corpses ,2003,6,12583510
Color,House of D ,2004,7,371081
Color,House of Flying Daggers ,2004,7.6,11041228
Color,House of Sand and Fog ,2003,7.6,13005485
Color,House of Sand ,2005,7.5,
Color,House of Wax ,2005,5.3,64097618
Color,House on Haunted Hill ,1999,5.6,40846082
Color,House Party 2 ,1991,5.1,19281235
Color,Housebound ,2014,6.8,
Color,Housefull ,2010,5.3,1165104
Color,How Do You Know ,2010,5.3,30212620
Black and White,How Green Was My Valley ,1941,7.8,
Color,How High ,2001,6.2,31155435
Color,How She Move ,2007,3.3,7070459
Color,How Stella Got Her Groove Back ,1998,5.5,37672350
Color,How the Grinch Stole Christmas ,2000,6,260031035
Color,How to Be a Player ,1997,5.3,13960203
Color,How to Be Single ,2016,6.1,46813366
Color,How to Deal ,2003,5.7,14108518
Color,How to Fall in Love ,2012,6.3,
Color,How to Lose a Guy in 10 Days ,2003,6.4,105807520
Color,How to Lose Friends & Alienate People ,2008,6.5,2775593
Color,How to Train Your Dragon 2 ,2014,7.9,176997107
Color,How to Train Your Dragon ,2010,8.2,217387997
Color,Howard the Duck ,1986,4.6,16295774
Color,Howards End ,1992,7.5,25967000
Color,Howl's Moving Castle ,2004,8.2,4710455
Black and White,Hud ,1963,7.9,
Color,Hudson Hawk ,1991,5.7,17218080
Color,Hugo ,2011,7.5,73820094
Color,Hulk ,2003,5.7,132122995
Color,Hum To Mohabbat Karega ,2000,2.8,
Color,Human Traffic ,1999,7.1,104257
Black and White,Hurricane Streets ,1997,6.5,334041
Color,Hustle & Flow ,2005,7.4,22201636
Color,I Am Legend ,2007,7.2,256386216
Color,I Am Love ,2009,7,5004648
Color,I Am Number Four ,2011,6.1,55092830
Color,I Am Sam ,2001,7.6,40270895
Color,I Am Wrath ,2016,5.2,
Color,I Can Do Bad All by Myself ,2009,4.1,51697449
Color,I Come with the Rain ,2009,5.5,
Color,I Don't Know How She Does It ,2011,4.9,9639242
Color,I Dreamed of Africa ,2000,5.6,6543194
