Title,Facenumber,Score,Cast_Likes,Gross
War of the Worlds ,0,6.5,12758,234277056
The Godfather: Part III ,1,7.6,16949,66676062
War ,0,6.3,33565,22466994
Wanted ,0,6.7,25763,134568845
The Next Three Days ,0,7.4,11799,21129348
The Secret of Kells ,0,7.7,75,686383
Songcatcher ,1,7.3,2187,3050934
A Perfect Getaway ,4,6.5,41359,15483540
Django Unchained ,1,8.5,40978,162804648
E.T. the Extra-Terrestrial ,0,7.9,2811,434949459
Wanderlust ,2,5.6,4151,17225675
Waltz with Bashir ,0,8,56,2283276
Alvin and the Chipmunks: Chipwrecked ,0,4.4,4073,133103929
Philomena ,2,7.6,2376,37707719
Brooklyn Rules ,3,6.4,1234,398420
WALL·E ,0,8.4,2975,223806889
Vamps ,2,5.1,3086,2964
Trust the Man ,3,5.7,1721,1530535
The Ghost and the Darkness ,0,6.8,1752,38553833
Turbo ,0,6.5,17416,83024900
Walking Tall ,1,6.2,14146,45860039
The Bounty Hunter ,1,5.5,21554,67061228
The Best Man Holiday ,5,6.7,5306,70492685
Walking and Talking ,2,6.8,2400,1277257
The Tigger Movie ,0,6.3,575,45542421
Walk the Line ,0,7.9,1383,119518352
The Twilight Saga: Breaking Dawn - Part 2 ,3,5.5,118354,584597846
Copying Beethoven ,0,6.8,150,352786
The General's Daughter ,0,6.3,2321,102678089
Lucky Number Slevin ,3,7.8,52902,44988974
Under the Same Moon ,1,7.4,2198,12589108
The Wind That Shakes the Barley ,1,7.5,128,1829142
The Whole Ten Yards ,5,5.5,18085,16323969
The Land Girls ,3,6.3,1378,146083
The Muppets ,3,7.1,1336,88625922
Walk Hard: The Dewey Cox Story ,1,6.7,1082,18317151
The Lord of the Rings: The Two Towers ,1,8.7,23052,340478898
The Age of Innocence ,3,7.2,1068,32000000
Star Trek VI: The Undiscovered Country ,0,7.2,16230,74888996
Waking Ned Devine ,0,7.4,1965,24788807
As Good as It Gets ,0,7.7,1474,147637474
Waitress ,1,7.1,1981,19067631
Serendipity ,0,6.9,37,49968653
Underworld: Awakening ,1,6.4,5861,62321039
American Pie ,6,7,8134,101736215
Waiting... ,3,6.8,19957,16101109
21 Grams ,0,7.7,7567,16248701
Bon voyage ,5,6.9,1776,2353728
Dune ,3,6.6,2449,27400000
Waiting for Guffman ,0,7.6,3559,2892582
Big Trouble ,2,6.5,13917,7262288
TRON: Legacy ,0,6.8,51099,344103574
Wah-Wah ,3,6.9,2544,233103
Spider-Man 2 ,1,7.3,43388,373377893
True Lies ,0,7.2,4528,146282411
Twilight ,1,5.2,88121,382898950
Despicable Me 2 ,0,7.5,11905,368049635
Wag the Dog ,0,7.1,29252,43022524
The Shaggy Dog ,0,4.4,24664,61112916
The Transporter ,0,6.8,27572,25296447
W. ,1,6.4,4264,25517500
The Legend of Suriyothai ,3,6.6,32,454255
Volcano ,0,5.4,5062,47474112
I Hope They Serve Beer in Hell ,1,5.3,1417,1425993
The Social Network ,0,7.7,10555,96917897
Remember Me ,0,7.2,22088,19057024
Beer League ,2,6,2753,475000
Virtuosity ,1,5.5,20772,24048000
Victor Frankenstein ,2,6,38628,17320557
Vicky Cristina Barcelona ,0,7.2,19894,23213577
The Red Violin ,3,7.7,29,9473382
Very Bad Things ,0,6.3,6046,9801782
Take the Lead ,0,6.7,3797,34703228
Veronica Guerin ,1,6.9,409,1569918
Man on a Ledge ,6,6.6,362,18600911
The Martian ,1,8.1,14831,228430993
Vera Drake ,1,7.7,3133,3753806
The Wiz ,0,5.2,1458,13000000
The Time Machine ,0,5.9,1919,56684819
Ouija ,0,4.4,5056,50820940
5 Days of War ,9,5.6,708,17149
Moonraker ,2,6.3,1008,62700000
Tomorrow Never Dies ,3,6.5,2958,125332007
American History X ,2,8.6,3858,6712241
Evil Dead ,0,6.5,673,54239856
Velvet Goldmine ,3,7,24102,1043487
The Iceman ,1,6.9,23187,1939441
Dear Frankie ,0,7.8,18105,1340891
Jefferson in Paris ,1,5.7,446,2474000
Mr. Holland's Opus ,1,7.3,2223,82528097
The Game of Their Lives ,0,6.2,20354,375474
Men with Brooms ,3,6,1834,4239767
Veer-Zaara ,0,7.9,9984,2921738
Slums of Beverly Hills ,0,6.6,2691,5480318
The Wedding Planner ,2,5.2,17533,60400856
The Forsaken ,4,5.3,3004,6755271
The Heart of Me ,3,6.7,1251,196067
Varsity Blues ,0,6.4,23369,52885587
Spider-Man ,0,7.3,40484,403706375
Buffalo '66 ,2,7.5,4762,2365931
The Campaign ,0,6.2,9271,86897182
Swept Away ,0,3.6,2006,598645
Traffic ,0,7.6,1418,124107476
The Grand Budapest Hotel ,0,8.1,15082,59073773
Vantage Point ,4,6.6,6775,72266306
Forrest Gump ,0,8.8,15700,329691196
Spy Game ,2,7,12499,26871
Pride and Prejudice and Zombies ,0,5.8,4710,10907291
Vanity Fair ,2,6.2,1618,16123851
Star Trek: Generations ,0,6.6,6427,75668868
A Most Wanted Man ,3,6.8,22574,17237244
About Time ,1,7.8,1595,15294553
Twin Falls Idaho ,0,7.3,3166,985341
The Cooler ,1,7,3086,8243880
The Hunger Games: Mockingjay - Part 2 ,1,6.6,81385,281666058
Glengarry Glen Ross ,1,7.8,32288,10725228
Vanilla Sky ,1,6.9,11458,100614858
10th & Wolf ,5,6.4,2512,53481
Twilight Zone: The Movie ,0,6.5,1954,29500000
The Cat in the Hat ,1,3.8,2762,100446895
Alexander ,3,5.5,24598,34293771
Brothers ,0,7.1,81946,57003302
Elite Squad ,1,8.1,666,8060
G.I. Joe: Retaliation ,6,5.8,31958,122512052
Vampires Suck ,7,3.5,2898,36658108
The Watch ,4,5.7,4974,68701106
Vampires ,0,6.1,5123,20241395
The Skeleton Twins ,2,6.8,3986,5283379
The Reaping ,0,5.7,960,25117498
The Business of Strangers ,2,6.4,1407,1028337
Narc ,1,7.2,1442,10460089
Vampire in Brooklyn ,1,4.5,2348,19900000
The Swindle ,0,6.6,1256,231417
Valley of the Heart's Delight ,7,6.6,1064,118666
Valentine's Day ,12,5.7,45696,110476776
The Glass House ,1,5.8,4239,17951431
Atlas Shrugged: Who Is John Galt? ,0,4.4,3382,830210
The Incredible Burt Wonderstone ,4,5.9,32094,22525921
The Verdict ,0,7.8,2330,54000000
Blade: Trinity ,0,5.9,19764,52397389
Friday the 13th Part 2 ,0,6.1,707,19100000
Green Lantern ,2,5.6,17657,116593191
Instinct ,1,6.5,13406,34098563
Valentine ,1,4.7,2402,20384136
Star Wars: Episode III - Revenge of the Sith ,4,7.6,44042,380262555
Last Holiday ,1,6.4,3757,38360195
The Neon Demon ,2,7,19879,1330827
The Postman ,1,6,4346,17593391
The House of the Devil ,0,6.4,3833,100659
Compadres ,2,5,1335,3105269
Vacation ,4,6.1,40312,58879132
The Cave ,0,5.1,2178,14888028
Urban Legends: Final Cut ,2,4.1,2682,21468807
The Bounty ,2,7,28094,8600000
This Is England ,0,7.7,3282,327919
I Don't Know How She Does It ,0,4.9,5470,9639242
Urban Legend ,4,5.5,3500,38048637
Must Love Dogs ,2,5.9,4879,43894863
Brick Mansions ,2,5.7,25387,20285518
Mrs. Doubtfire ,5,6.9,52201,219200000
The Legend of Hercules ,0,4.2,1520,18821279
The Perfect Host ,1,6.8,1452,48430
Up in the Air ,0,7.4,35209,83813460
Up Close & Personal ,2,6.1,3653,51045801
My Sister's Keeper ,2,7.4,1775,49185998
TMNT ,0,6.3,16571,54132596
Up ,1,8.3,2635,292979556
Untraceable ,1,6.2,3612,28687835
Deterrence ,0,6.5,1983,144583
Pet Sematary ,0,6.6,2987,57469179
Dracula: Pages from a Virgin's Diary ,1,7,21,39659
Unknown ,3,6.9,34303,122189806
Roll Bounce ,0,6,7552,17378977
Chasing Mavericks ,2,7.2,21200,6002756
The Adventures of Rocky & Bullwinkle ,0,4.1,28050,26000610
Universal Soldier: The Return ,0,4.1,4024,10431220
Hide and Seek ,0,5.9,23328,51097664
Troy ,2,7.2,17944,133228348
United 93 ,0,7.6,313,31471430
Buffalo Soldiers ,1,6.9,3578,353743
Tin Cup ,0,6.3,3648,53854588
Unfriended ,0,5.7,1565,31537320
Training Day ,2,7.7,22370,76261036
Leap Year ,2,6.4,4094,12561
The One ,1,5.9,32831,43905746
Punisher: War Zone ,1,6,6563,7948159
Magic Mike XXL ,3,5.7,38963,66009973
Unforgiven ,1,8.3,28544,101157447
To Save a Life ,1,7.1,2563,3773863
Jeepers Creepers II ,0,5.6,1340,35143332
L!fe Happens ,8,5.7,2924,20186
The Lord of the Rings: The Fellowship of the Ring ,2,8.8,22342,313837577
Unfinished Business ,2,5.4,1564,10214013
The Good German ,2,6.1,2355,1304837
The Adventures of Huck Finn ,0,6.2,4840,24103594
The Mothman Prophecies ,0,6.5,1651,35228696
Analyze This ,2,6.7,24333,106694016
Undisputed ,2,6.1,2880,12398628
Higher Ground ,0,6.3,1439,841206
Sphere ,3,6,1044,36976367
Forgetting Sarah Marshall ,1,7.2,16758,62877175
The Horse Boy ,0,7.4,62,155984
See Spot Run ,0,5.4,4194,33357476
Cold Mountain ,3,7.2,61110,95632614
Top Spin ,0,7.1,0,5858
Left Behind ,1,3.1,30088,27996564
The Magic Sword: Quest for Camelot ,0,6.2,14275,22717758
Undiscovered ,4,4.2,1835,1046166
Club Dread ,2,5.6,3306,4992159
Resident Evil: Afterlife ,1,5.9,16098,60128566
Underworld: Rise of the Lycans ,1,6.6,2184,45802315
The Girl with the Dragon Tattoo ,1,7.8,20388,102515793
Don Jon ,1,6.6,44265,24475193
Underworld ,0,7,1777,51483949
Naturally Native ,4,6.5,1763,10508
Buried ,0,7,17471,1028658
Office Space ,0,7.8,3462,10824921
The Funeral ,3,6.6,3337,1227324
Undercover Brother ,3,5.8,3001,38230435
Underclassman ,3,4.1,2165,5654777
A Lego Brickumentary ,0,6.8,28,100240
Cleopatra ,2,7,2957,57750000
Under the Tuscan Sun ,1,6.7,1310,43601508
My Stepmother Is an Alien ,0,5.2,14677,13854000
Under the Rainbow ,0,5.4,1761,8500000
The Royal Tenenbaums ,1,7.6,14609,52353636
Unbroken ,0,7.2,5876,231207960
Grease ,2,7.2,5127,181360000
The Counselor ,4,5.3,27797,16969390
The Invasion ,2,5.9,2323,15071514
There's Something About Mary ,1,7.1,4664,176483808
The Rite ,1,6,19904,33037754
Unbreakable ,0,7.2,33645,94999143
Footloose ,0,6.5,3924,160000000
Ulee's Gold ,1,7.1,787,9054736
Old Dogs ,2,5.4,53370,49474048
Ultraviolet ,1,4.4,15271,18500966
In the Name of the King: A Dungeon Siege Tale ,3,3.8,26564,4535117
UHF ,1,7,3942,6157157
Namastey London ,2,7.3,4004,1207007
Two Weeks Notice ,2,6.1,2636,93307796
The Barbarian Invasions ,2,7.7,253,3432342
Kingdom of Heaven ,1,7.2,19600,47396698
The Big Lebowski ,1,8.2,47728,17439163
Ed Wood ,1,7.9,56585,5887457
Two Lovers ,0,7.1,1540,3148482
The Knife of Don Juan ,3,7.2,5,3830
Two Girls and a Guy ,3,5.6,21124,1950218
Tropic Thunder ,3,7,23484,110416702
Percy Jackson: Sea of Monsters ,0,5.9,10882,68558662
Two Evil Eyes ,1,6.1,2942,349618
The Conspirator ,0,7,21163,11538204
The Huntsman: Winter's War ,2,6.1,46719,47952020
Two Can Play That Game ,2,6.1,2815,22235901
Sex with Strangers ,0,4.7,0,247740
Dredd ,0,7.1,1156,26803366
Duets ,0,6,1227,4734235
Twister ,0,6.3,26239,241688385
The Sitter ,3,5.7,3850,30538669
Smilla's Sense of Snow ,1,6.4,3125,2221994
Furry Vengeance ,1,3.8,6327,17596256
The Living Daylights ,1,6.7,1233,51185897
Here Comes the Boom ,2,6.5,6727,45290318
Twins ,1,6,2151,111936400
The Wild Thornberrys Movie ,0,5.2,2908,39880476
Tusk ,0,5.4,43810,1821983
Nutty Professor II: The Klumps ,1,4.3,2818,123307945
Colombiana ,0,6.4,3432,36665854
Shooter ,0,7.2,1640,46975183
Tupac: Resurrection ,0,8,2638,7707563
Miss Congeniality 2: Armed and Fabulous ,2,5,4305,48472213
Tumbleweeds ,1,6.7,1986,1281176
The Incredible Hulk ,0,6.8,5811,134518390
The Book of Eli ,0,6.9,44797,94822707
Tucker and Dale vs Evil ,1,7.6,2958,223615
The Golden Child ,1,5.9,1044,79817937
The Unborn ,1,4.8,24366,85276330
The Rage: Carrie 2 ,1,4.6,3162,17757087
Say It Isn't So ,2,4.9,2413,5516708
Tuck Everlasting ,2,6.7,2661,19158074
Blade II ,1,6.7,15371,81645152
Good Kill ,0,6.4,2099,316842
Timeline ,0,5.6,43887,19480739
Save the Last Dance ,0,6.1,1307,91038276
ParaNorman ,0,7,13597,55994557
The Emperor's Club ,1,6.9,14347,14060950
The Alamo ,0,6,11560,44812724
Tsotsi ,1,7.3,278,2912363
Rushmore ,2,7.7,15716,17096053
Trust ,0,7,916,58214
DOA: Dead or Alive ,4,4.8,4473,480314
The Longshots ,2,5.1,2453,11508423
True Grit ,0,7.7,25964,171031347
Never Let Me Go ,0,7.2,12867,2412045
The Spanish Prisoner ,0,7.3,1722,10200000
Short Cut to Nirvana: Kumbh Mela ,0,7.2,66,381225
Escape from L.A. ,0,5.7,15935,25407250
Touching the Void ,0,8.1,29,4581222
The Informant! ,1,6.5,16031,33313582
Guess Who ,2,5.9,2689,67962333
The Wailing ,0,7.7,50,770629
Troop Beverly Hills ,1,5.5,2368,8508843
Thor: The Dark World ,3,7.1,59803,206360018
Sparkler ,3,5.6,2633,5494
Donnie Darko ,1,8.1,17040,727883
Josie and the Pussycats ,0,5.3,3769,14252830
Trollhunter ,0,7,44,252652
Clerks ,4,7.8,2103,3151130
Trippin' ,3,5.2,1936,9016377
One Missed Call ,1,3.9,1834,26876529
The Shadow ,0,6,2711,32055248
The Collection ,0,6.1,3818,6842058
Clueless ,1,6.8,1724,56631572
Michael Clayton ,0,7.3,3284,49024969
Triple 9 ,3,6.3,27214,12626905
Sorority Row ,2,5.1,3142,11956207
The Roommate ,1,4.8,5349,37300107
Aliens in the Attic ,3,5.4,3423,25200412
Tremors ,0,7.1,3119,16667084
Miracles from Heaven ,0,6.8,7833,61693523
Trekkies ,1,7,2864,617172
Mondays in the Sun ,1,7.7,387,146402
Trees Lounge ,1,7.2,14420,695229
The Fountain ,0,7.3,24640,10139254
40 Days and 40 Nights ,0,5.6,3294,37939782
Homefront ,1,6.5,39989,19783777
Saving Face ,0,7.6,1396,1186323
A Prairie Home Companion ,8,6.8,12946,20338609
Like Mike ,7,5.1,3679,51432423
Trash ,0,7.2,679,10230
The Last Stand ,2,6.4,1643,12026670
"Legally Blonde 2: Red, White & Blonde ",2,4.6,3500,89808372
The Three Stooges ,0,5.1,6137,44328238
Sideways ,0,7.5,2170,71502303
The Hunting Party ,2,6.9,504,876671
Mortdecai ,2,5.5,42683,7605668
Transsiberian ,0,6.7,1252,2203641
Transporter 2 ,1,6.3,29050,43095600
Thank You for Smoking ,0,7.6,25092,24792061
Transamerica ,2,7.4,3192,9013113
P.S. I Love You ,1,7.1,18726,53680848
Half Past Dead ,0,4.6,1855,15361537
Transformers: Revenge of the Fallen ,0,6,3218,402076689
Transformers: Dark of the Moon ,2,6.3,2593,352358779
Simply Irresistible ,1,5.3,5668,4394936
Shine a Light ,0,7.2,1218,5355376
Charlie Bartlett ,5,7,22577,3950294
Transformers ,0,7.1,2333,318759914
Trainwreck ,1,6.3,1450,110008260
The To Do List ,7,5.8,2667,3447339
10 Cloverfield Lane ,0,7.3,14504,71897215
The 33 ,7,6.9,2230,12188642
The Legend of Zorro ,1,5.9,2864,45356386
Mr. Deeds ,1,5.8,26826,126203320
Trainspotting ,4,8.2,3559,16501785
Hobo with a Shotgun ,4,6.1,1249,703002
The Omega Code ,0,3.5,2428,12610552
Night at the Museum ,2,6.4,55486,250863268
Pirates of the Caribbean: The Curse of the Black Pearl ,3,8.1,48184,305388685
Mambo Italiano ,0,6.7,1033,6239558
Thunderbirds ,0,4.2,2260,6768055
Trading Places ,2,7.5,845,90400000
The Hangover Part II ,0,6.5,16143,254455986
Pink Flamingos ,2,6.1,760,180483
Trade of Innocents ,2,5.4,1443,15059
Running with Scissors ,0,6.2,1291,6754898
Neighbors ,3,6.4,2771,150056505
8 Mile ,0,7,1954,116724075
Trade ,0,7.5,1952,214202
The Abyss ,0,7.6,4074,54222000
Inside Llewyn Davis ,1,7.4,4082,13214255
The Wood ,0,6.9,2724,25047631
Robots ,1,6.3,1804,128200012
The DUFF ,4,6.5,36892,34017854
Suspect Zero ,0,5.9,1721,8712564
Toy Story 3 ,3,8.3,19085,414984497
Courage ,4,7,3384,2246000
The Waterboy ,0,6.1,13823,161487252
Private Benjamin ,1,6.1,2419,69800000
The Jungle Book ,0,7.8,65842,725290282
Priest ,0,5.7,1417,29136626
Toy Story 2 ,2,7.9,21275,245823397
Blood Work ,1,6.4,18635,26199517
The Day After Tomorrow ,0,6.4,20553,186739919
Toy Story ,1,8.3,19046,191796233
J. Edgar ,0,6.6,36258,37304950
Tower Heist ,5,6.2,3768,78009155
Quinceañera ,1,7.1,771,1689999
Chill Factor ,0,5.2,1274,11227940
Million Dollar Baby ,1,8.1,28830,100422786
The Hammer ,1,7.3,897,442638
Total Recall ,0,7.5,2882,238825842
Topsy-Turvy ,1,7.4,1690,6201757
The White Ribbon ,0,7.8,167,2222647
My Date with Drew ,0,6.6,163,85222
The Warlords ,2,7.1,6267,128978
Licence to Kill ,0,6.6,2371,34667015
Top Hat ,2,7.8,824,3000000
Catch Me If You Can ,0,8,48153,164435221
The Lake House ,0,6.8,18693,52320979
Rock of Ages ,7,5.9,712,38509342
The Machinist ,0,7.7,24994,1082044
The Tourist ,0,6,110350,135262314
Tomcats ,0,5.3,2729,13558739
The FP ,0,5.6,2046,40557
Scary Movie 2 ,7,5.2,1645,71277420
Nothing But a Man ,1,8.1,835,12438
The Imitation Game ,1,8.1,20295,91121452
To Rome with Love ,0,6.3,1205,16684352
The Legend of Drunken Master ,1,7.6,768,11546543
Beauty Shop ,1,5.5,3535,36310118
Hoodwinked Too! Hood vs. Evil ,0,4.8,5393,10134754
The Big Tease ,1,6.3,2805,185577
To Die For ,0,6.8,3598,21200000
The Man Who Knew Too Little ,1,6.6,15183,13801755
Titanic ,0,7.7,45223,658672302
Titan A.E. ,0,6.6,15857,22751979
Ernest & Celestine ,0,7.9,6829,71442
Tiny Furniture ,0,6.3,2530,389804
Thinner ,0,5.7,2777,15171475
The Age of Adaline ,1,7.2,15327,42478175
Damsels in Distress ,5,5.7,2452,1007535
Dirty Grandpa ,1,6,24063,35537564
The Spy Who Loved Me ,2,7.1,1326,46800000
The Ghastly Love of Johnny X ,2,5.7,1611,2436
Poetic Justice ,0,5.9,1620,27515786
Anna and the King ,2,6.7,804,39251128
Monster House ,0,6.6,17299,73661010
Tinker Tailor Soldier Spy ,1,7.1,46241,24104113
The Remains of the Day ,1,7.9,12749,22954968
Fantasia 2000 ,0,7.3,814,60507228
How to Lose Friends & Alienate People ,4,6.5,858,2775593
Timecrimes ,0,7.2,239,38108
The Ultimate Gift ,2,7.4,3824,3420871
Rob Roy ,1,6.9,16125,31600000
Timecop ,1,5.8,2010,44450000
Dirty Pretty Things ,1,7.4,1334,8111360
Piranha 3D ,0,5.5,5737,25003072
Funny Games ,0,6.5,6748,1294640
Hope Springs ,2,6.3,19420,63536011
Time to Choose ,0,7,24,29233
The Cable Guy ,1,6,3718,60154431
Time Bandits ,0,7,2730,42365600
Tim and Eric's Billion Dollar Movie ,3,5.3,1467,200803
All the Real Girls ,0,6.9,12385,548712
Thunder and the House of Magic ,0,6.3,369,4091
Friday the 13th: The Final Chapter ,0,5.9,467,32600000
Running Scared ,2,7.4,27381,6855137
The Life of David Gale ,0,7.5,32637,19593740
Thumbsucker ,0,6.6,1208,1325073
Mulholland Drive ,1,8,8484,7219578
Catch That Kid ,0,5.2,18711,16702864
Eddie the Eagle ,3,7.5,42390,31571264
No End in Sight ,0,8.3,446,1430185
The Jungle Book 2 ,0,5.4,4480,47887943
Three Kings ,1,7.1,3743,60652036
Funny People ,1,6.4,11852,51814190
Mars Attacks! ,3,6.3,22590,37754208
Three Burials ,2,7.5,1627,5023275
L'auberge espagnole ,0,7.3,1858,3895664
The Nativity Story ,0,6.8,966,37617947
Thr3e ,0,5.1,2306,978908
The Raid: Redemption ,0,7.6,1445,4105123
Thor ,1,7,60059,181015141
Saved! ,5,6.9,5668,8786715
The World's End ,6,7,278,26003149
The Sweetest Thing ,3,5.1,132,24430272
The New World ,0,6.7,27829,12712093
Thomas and the Magic Railroad ,1,3.6,2429,15911333
Our Idiot Brother ,1,6.4,15710,24809547
2046 ,0,7.5,2378,261481
Happily N'Ever After ,3,4.5,6863,15519841
This Is Where I Leave You ,8,6.6,4662,34290142
This Is It ,0,7.3,679,71844424
The Woman Chaser ,0,7.3,168,110720
Shutter ,1,5.2,1534,25926543
Gerry ,0,6.2,13000,236266
The Thing ,0,8.2,1757,13782838
The Dark Knight ,0,9,57802,533316061
300: Rise of an Empire ,0,6.2,10583,106369117
This Is 40 ,2,6.2,1050,67523385
Pompeii ,0,5.6,1099,23219748
The Horse Whisperer ,0,6.5,20683,75370763
Savage Grace ,1,5.9,15093,434417
The Terminator ,1,8.1,3582,38400000
The Pianist ,0,8.5,1075,32519322
Broken Vessels ,0,6.6,2288,13493
Jab Tak Hai Jaan ,4,6.9,13762,3047539
This Christmas ,9,6.1,6554,49121934
Think Like a Man Too ,8,5.7,4830,65182182
Think Like a Man ,8,6.6,5165,91547205
The Last Witch Hunter ,0,6,16922,27356090
Things We Lost in the Fire ,1,7.2,1889,2849142
Ninja Assassin ,0,6.4,701,38105077
Antitrust ,2,6.1,1297,10965209
They Live ,0,7.3,837,13008928
They ,0,4.8,4060,12693621
Brüno ,1,5.8,2134,59992760
There Goes My Baby ,2,6.4,2272,125169
The Young Victoria ,1,7.3,5890,10991381
Splice ,0,5.8,2222,16999046
The Young Unknowns ,0,4.2,2359,58163
The Young Messiah ,0,5.4,824,6462576
Primer ,0,7,368,424760
The Switch ,2,6.1,1292,27758465
The Young and Prodigious T.S. Spivet ,1,7.1,1843,99462
The Debt ,3,6.9,1136,31146570
The Wolf of Wall Street ,3,8.2,46057,116866727
The Bucket List ,1,7.4,14868,93452056
The Devil's Rejects ,0,6.9,3544,16901126
Detention of the Dead ,6,4.6,2251,1332
The Homesman ,1,6.6,2896,2428883
The Polar Express ,0,6.6,16264,665426
Crimson Tide ,0,7.3,30132,91400000
The X Files ,0,7,4230,83892374
The Spy Next Door ,4,5.4,3436,24268828
Easy A ,1,7.1,16982,58401464
The World's Fastest Indian ,1,7.9,12574,5128124
The Conjuring ,0,7.5,9049,137387272
The Silence of the Lambs ,0,8.6,13184,130727000
"The Good, the Bad and the Ugly ",3,8.9,16089,6100000
Molly ,1,5.8,1562,15593
The World Is Not Enough ,2,6.4,2037,126930660
The Witch ,0,6.8,1122,25138292
Princess Mononoke ,0,8.4,2710,2298191
Inside Job ,0,8.3,13145,4311834
Killing Them Softly ,1,6.2,14025,14938570
The Work and the Glory II: American Zion ,2,6.6,1942,2024854
Spring Breakers ,4,5.3,12306,14123773
One Direction: This Is Us ,11,4.1,2787,28873374
The Covenant ,0,5.3,3261,23292105
The Extra Man ,4,5.9,2029,453079
August Rush ,0,7.5,50927,31655091
Bottle Shock ,0,6.8,25676,4040588
The Woman in Black ,0,6.4,11946,54322273
A League of Their Own ,3,7.2,16751,107458785
The International ,0,6.5,7654,25450527
The Wolverine ,1,6.7,23755,132550960
The Wolfman ,0,5.8,13071,61937495
Assault on Precinct 13 ,1,6.3,3148,19976073
The Widow of Saint-Pierre ,1,7.3,2389,3058380
Gothika ,1,5.8,22318,59588068
The Lucky One ,0,6.5,1852,60443237
The Princess Diaries 2: Royal Engagement ,2,5.7,15362,95149435
The White Countess ,0,6.7,2096,1666262
The Wendell Baker Story ,4,5.5,9608,127144
The Wedding Date ,0,6.1,2666,31585300
The Monuments Men ,7,6.1,27674,78031620
Head Over Heels ,5,5.4,2165,10397365
The Intern ,2,7.2,36010,75274748
Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,0,7.1,483,151389
The Hobbit: The Battle of the Five Armies ,0,7.5,9152,255108370
The Weather Man ,1,6.6,13156,12469811
The Way Way Back ,1,7.4,8375,21501098
The Borrowers ,0,5.8,2056,22359293
ABCD (Any Body Can Dance) ,3,6.4,1182,95236
The Way of the Gun ,4,6.7,358,6047856
Parental Guidance ,5,6.1,5740,77264926
The Water Diviner ,0,7.1,1795,4190530
The Good Dinosaur ,0,6.8,696,123070338
The Back-up Plan ,0,5.3,3356,37481242
The Warrior's Way ,1,6.3,2056,5664251
The Walk ,0,7.4,23031,10137502
Rounders ,2,7.4,14890,22905674
R100 ,0,6.1,81,22770
Clay Pigeons ,1,6.6,1795,1789892
Insidious: Chapter 3 ,0,6.1,2426,52200504
The Hills Have Eyes II ,0,5.1,2559,20801344
The Wackness ,2,7,2748,2077046
Captive ,1,5.3,2739,2557668
School for Scoundrels ,1,5.9,4374,17803796
The Virginity Hit ,0,4.6,768,535249
The Rugrats Movie ,0,5.9,3438,100491683
The BFG ,0,6.8,1950,52792307
My Dog Tulip ,0,6.9,1370,246574
The Virgin Suicides ,0,7.2,7103,4859475
The Spiderwick Chronicles ,0,6.6,1614,71148699
The Village ,0,6.5,7273,114195633
PCU ,3,6.5,4908,4350774
The Vatican Tapes ,0,4.5,7875,1712111
The Family Man ,1,6.7,16646,75764085
The Upside of Anger ,1,6.9,2944,18761993
"Gandhi, My Father ",0,7.4,172,240425
The Smurfs ,3,5.5,692,142614158
Swingers ,0,7.4,4230,4505922
Spy Kids ,0,5.4,4499,112692062
The Believer ,0,7.2,33441,406035
The Untouchables ,1,7.9,22767,76270454
Loser ,2,5.3,1189,15464026
The Theory of Everything ,0,7.7,14100,35887263
The Business of Fancydancing ,0,6.9,314,174682
The Hudsucker Proxy ,2,7.3,2612,2869369
Suicide Squad ,8,6.9,11287,161087183
Pride & Prejudice ,2,7.8,1083,38372662
The Ugly Truth ,2,6.5,22436,88915214
Blue Valentine ,0,7.4,35941,9701559
The Hunchback of Notre Dame ,0,6.9,4842,100117603
The Little Vampire ,1,5.7,2216,13555988
The Twilight Saga: New Moon ,2,4.6,64040,296623634
Sunshine ,0,7.3,11623,3675072
The Twilight Saga: Eclipse ,3,4.9,52547,300523113
She's All That ,2,5.8,28734,63319509
New York Minute ,1,4.8,3974,14018364
The Tuxedo ,2,5.3,2018,50189179
The Sentinel ,0,6.1,1352,36279230
The Truman Show ,1,8.1,3698,125603360
Hollywood Shuffle ,1,7,1431,5228617
The Triplets of Belleville ,0,7.8,29,7002255
Poltergeist III ,0,4.5,3827,14114488
"O Brother, Where Art Thou? ",3,7.8,3066,45506619
The Devil's Advocate ,2,7.5,45271,60984028
The Bank Job ,0,7.3,27755,30028592
Step Up ,0,6.5,21380,65269010
The Tree of Life ,0,6.7,13021,13303319
The Sum of All Fears ,0,6.4,12556,118471320
The Toxic Avenger Part II ,2,5.1,99,792966
The Patriot ,1,7.1,19454,113330342
Spectre ,1,6.8,11700,200074175
Selena ,1,6.7,1735,35422828
The Town ,7,7.6,14296,92173235
The Passion of the Christ ,0,7.1,705,499263
Speed 2: Cruise Control ,0,3.7,2027,48068396
Chicago ,0,7.2,813,170684505
The Stepford Wives ,1,5.2,13748,59475623
Charlie's Angels: Full Throttle ,0,4.8,4046,100685880
Glory Road ,1,7.2,2577,42643187
The Time Traveler's Wife ,1,7.1,568,63411478
The Curious Case of Benjamin Button ,2,7.8,13333,127490802
Chariots of Fire ,0,7.2,1651,58800000
The Orphanage ,0,7.5,954,7159147
The Thin Red Line ,0,7.6,1937,36385763
Corky Romano ,1,4.6,3850,23978402
